UBIGEO,YEAR,RAIN_ANNUAL_MM,RAIN_ANNUAL_ANOM_MM,TMAX_ANNUAL_MEAN_C,TMAX_ANNUAL_ANOM_C,TMIN_ANNUAL_MEAN_C,TMIN_ANNUAL_ANOM_C,MONTHS_AVAILABLE,EVENT_DIAGNOSTIC_PASS
200101,2017,861.7550539585229,692.2605704790375,30.393641972930975,-0.5907879780642297,20.76397933189759,0.47204939511588656,12,True
200104,2017,1250.0711214578919,994.0459371963003,29.963485400128935,-0.5962478960031768,19.9209645276298,0.5097526598351282,12,True
200105,2017,632.7640297626664,502.85452824822795,29.735506104757103,-0.4295575833037549,19.476290944534647,0.4267966259644111,12,True
200107,2017,600.9003700537173,490.1005690070341,30.22292234565565,-0.4858683234717569,20.732115879681285,0.37784215828901146,12,True
200108,2017,546.5140201395061,450.3875963473617,30.26953778394261,-0.4082253725081741,21.15342499888346,0.3483742475739528,12,True
200109,2017,584.7355523233734,485.3013273360828,29.347919390158214,-0.42156358054817594,21.332026195577257,0.2985223042618467,12,True
200110,2017,573.9443051359636,484.4009842791939,28.387434774715004,-0.18881936554326137,21.95881375944558,0.3087297066006262,12,True
200111,2017,917.6529993339263,580.7120563942332,29.033711704276957,-0.3974902062747481,20.155374313939216,0.4075273713950362,12,True
200114,2017,1326.9594920413804,960.0516001319645,29.714260563075367,-0.4958250059502805,20.234789235444193,0.5107380664430027,12,True
200201,2017,1993.744807651405,839.8256456756625,24.20064426801643,0.24524717805673232,15.298658444272862,0.0747610345217485,12,True
200202,2017,1697.3688634915125,923.5459859093868,25.468098387900557,-0.05512111509020231,17.0648281777105,0.18665174962943767,12,True
200203,2017,1799.4202231465076,831.5311000930276,26.77483118990793,0.06980882976250828,18.03590209662842,0.13866113148642936,12,True
200204,2017,1344.173408237393,653.638308259348,24.851555997143866,0.0747134506690393,16.36203091172933,0.13740196002622232,12,True
200205,2017,1468.3906929360555,708.8431243491343,26.046549182720454,0.06512331649393754,17.449809533226766,0.13804164203693592,12,True
200206,2017,1545.1629848255518,714.9138704947827,23.851838972607307,0.29157597881294023,14.981292748841327,0.11970273325649246,12,True
200207,2017,1038.977196449066,554.7851848548851,27.752306023698253,-0.10318402400248505,19.43823360565615,0.20948472506734994,12,True
200208,2017,1097.4496472464352,553.8867802604506,25.768882732757405,-0.07478482572748153,17.576459942399314,0.1829616368239281,12,True
200209,2017,2158.6405732593325,925.4151023466626,25.563436249005054,0.12120574133491797,16.691077403902426,0.1148136541060037,12,True
