UBIGEO,YEAR,RAIN_ANNUAL_MM,RAIN_ANNUAL_ANOM_MM,TMAX_ANNUAL_MEAN_C,TMAX_ANNUAL_ANOM_C,TMIN_ANNUAL_MEAN_C,TMIN_ANNUAL_ANOM_C,MONTHS_AVAILABLE,EVENT_DIAGNOSTIC_PASS
200101,2023,425.1827096400755,255.68822616058995,31.69522170919272,0.7107917581975128,21.978921096614055,1.6869911598323526,12,True
200104,2023,648.1329099316736,392.10772567008206,31.28721531561723,0.7274820194851189,21.06615073718535,1.6549388693906808,12,True
200105,2023,390.4928010326022,260.5832995181637,31.03374387683399,0.8686801887731361,20.74014812323968,1.6906538046694486,12,True
200107,2023,342.4722029536996,231.67240190701636,31.59313230611858,0.8843416369911719,22.078662113558607,1.7243883921663363,12,True
200108,2023,314.01561891756194,217.88919512541756,31.64463933256981,0.9668761761190234,22.535434999790088,1.7303842484805827,12,True
200109,2023,316.2719793156614,216.83775432837072,30.72006368785081,0.9505807171444198,22.733891329448493,1.7003874381330846,12,True
200110,2023,290.11961315193525,200.57629229516562,29.686509595813195,1.1102554555549344,23.324295516090334,1.674211463245381,12,True
200111,2023,750.0796298809903,413.1386869412971,30.15232554307106,0.7211236325193573,20.976882098805863,1.2290351562616826,12,True
200114,2023,857.4900866496293,490.5821947402134,30.929653101895017,0.7195675328693723,21.143070021395488,1.4190188523942995,12,True
200201,2023,1628.2246859524062,474.3055239766637,24.76663922526697,0.8112421353072715,15.903883907859457,0.6799864981083436,12,True
200202,2023,1453.1087166789569,679.285839096831,26.439811923331515,0.9165924203407547,17.974624332160346,1.0964479040792872,12,True
200203,2023,1464.2632864016693,496.3741633481895,27.475047024154446,0.7700246640090246,18.659438395044972,0.7621974299029807,12,True
200204,2023,1186.6249852228877,496.08988524484266,25.596696336888655,0.8198537904138261,17.12202567410586,0.8973967224027511,12,True
200205,2023,1209.9038495897055,450.35628100278427,26.76814287430145,0.7867170080749327,18.13508161244484,0.8233137212550115,12,True
200206,2023,1359.3760613621312,529.126947031362,24.420861568422225,0.8605985746278607,15.684182748202147,0.8225927326173156,12,True
200207,2023,869.3370986811307,385.1450870869497,28.642383426949895,0.786893379249158,20.19478925279518,0.9660403722063755,12,True
200208,2023,1020.5776039996324,477.0147370136479,26.68138232761767,0.8377147691327854,18.420375154743862,1.0268768491684774,12,True
200209,2023,1790.9729713863615,557.7475004736917,26.2091394504706,0.7669089428004646,17.306616813442336,0.7303530636459135,12,True
200210,2023,1111.1664096871837,467.95713814621166,29.971444124922908,0.7850556803290992,21.17138131837216,0.9150444482934056,12,True
200301,2023,978.8869915328426,385.228801162068,23.328492908434896,0.9049708234531183,14.402264270069324,0.8527371190800559,12,True
200302,2023,1340.8605535230865,637.961868921662,26.306776904434624,1.027001745493789,17.167825321405633,0.9972599563997565,12,True
200303,2023,1351.5477124067556,371.62131915230844,23.078220349587497,0.8073462703735448,14.726628245446308,0.7090751080592558,12,True
200304,2023,1117.8022599235328,474.0684076448116,26.862356562636617,1.0260704898770727,17.47444152249882,1.064195001579854,12,True
200305,2023,1286.311525342846,551.4655854011031,26.123781585847997,0.9986163332896331,17.190767072209244,0.9762356315566479,12,True
200306,2023,1435.1571636955198,698.0207244633046,26.73920467079347,1.0283696589835891,17.511994574664055,1.0042330505086945,12,True
200307,2023,1247.4354992871292,487.3541773292914,24.129321291568957,0.9206875791575078,15.61901077230585,0.9336594232296066,12,True
200308,2023,1135.159616110582,495.68366680488174,24.705563555427915,0.9187283428095127,15.769686679819884,0.9088985848699304,12,True
200401,2023,1094.2712636688127,650.8600715191644,30.734624468845578,0.8977994497761891,21.198291566713756,1.397832996190327,12,True
200402,2023,1229.4983358899565,741.3647413155347,30.656916881812872,1.053837918581961,21.56330081592736,1.2333084053127754,12,True
200403,2023,1685.6402763464512,762.1877024288951,25.37997040647714,0.9432046307180126,16.662932742169208,1.0091981944227113,12,True
200404,2023,873.9335765125949,572.174933833721,30.915068990548132,0.9325126964329948,20.927272869701763,1.4138963910485236,12,True
200405,2023,1284.280476398456,781.3220233597356,30.763296563887746,1.0365953088110034,21.94578054135502,1.256257270744557,12,True
200406,2023,1190.2276589947157,694.1890008076941,30.00133511846303,1.0989094679369158,20.383603394010972,1.2171991298600922,12,True
