UBIGEO,VARIABLE,median_contributing_pixels,minimum_contributing_pixels,median_effective_support_area_m2,district_physical_area_m2,minimum_valid_area_fraction,LOW_PIXEL_SUPPORT_REVIEW
200101,RAIN,16.0,16,194560006.80337983,194559781.23193872,1.0,False
200101,TMAX,16.0,16,194560006.80893242,194559781.23193872,1.0,False
200101,TMIN,16.0,16,194560006.80893242,194559781.23193872,1.0,False
200104,RAIN,36.0,36,651336541.3914504,651335043.1665405,1.0,False
200104,TMAX,36.0,36,651336541.3882983,651335043.1665405,1.0,False
200104,TMIN,36.0,36,651336541.3882983,651335043.1665405,1.0,False
200105,RAIN,106.0,106,2268344072.4602723,2268347998.562726,0.9999982691798365,False
200105,TMAX,106.0,106,2268344072.4823146,2268347998.562726,0.9999982691895538,False
200105,TMIN,106.0,106,2268344072.4823146,2268347998.562726,0.9999982691895538,False
200107,RAIN,12.0,12,215641793.69549754,215642049.8728908,0.9999988120248653,False
200107,TMAX,12.0,12,215641793.69023514,215642049.8728908,0.9999988120004618,False
200107,TMIN,12.0,12,215641793.69023514,215642049.8728908,0.9999988120004618,False
200108,RAIN,10.0,10,100155891.27531198,100155687.10066693,1.0,False
200108,TMAX,10.0,10,100155891.27901132,100155687.10066693,1.0,False
200108,TMIN,10.0,10,100155891.27901132,100155687.10066693,1.0,False
200109,RAIN,15.0,15,169856331.0866511,169856325.61880985,1.0,False
200109,TMAX,15.0,15,169856331.08495092,169856325.61880985,1.0,False
200109,TMIN,15.0,15,169856331.08495092,169856325.61880985,1.0,False
200110,RAIN,25.0,25,318302357.40196043,318303976.36946326,0.9999949137691546,False
200110,TMAX,25.0,25,318302357.4113857,318303976.36946326,0.9999949137987655,False
200110,TMIN,25.0,25,318302357.4113857,318303976.36946326,0.9999949137987655,False
200111,RAIN,33.0,33,552653389.741161,552653389.7327626,1.0,False
200111,TMAX,33.0,33,552653389.7411835,552653389.7327626,1.0,False
200111,TMIN,33.0,33,552653389.7411835,552653389.7327626,1.0,False
200114,RAIN,71.0,71,1484414542.2313783,1484416069.3454156,0.999998971235849,False
200114,TMAX,71.0,71,1484414542.2313123,1484416069.3454156,0.9999989712358045,False
