UBIGEO,MONTH,RAIN_NORMAL,RAIN_SD,TMAX_NORMAL,TMAX_SD,TMIN_NORMAL,TMIN_SD,RAIN_N_YEARS,TMAX_N_YEARS,TMIN_N_YEARS,N_YEARS_AVAILABLE,PASS
200101,1,22.473273252523494,111.38793998310757,32.900638834769985,0.5028337435261675,21.95974699455352,0.9770126537425714,30,30,30,30,True
200101,2,66.29874991016992,135.06576194988338,33.76984688167411,0.42223918462598337,23.96513429880488,0.9413943735540597,30,30,30,30,True
200101,3,56.24849732778469,127.28549783467561,33.431258420164575,0.609479759439493,23.41471732881365,0.9625859279354853,30,30,30,30,True
200101,4,12.204011246922128,24.77161417503858,32.145714428341414,0.5027845172164008,21.163892372805268,1.1984006916658978,30,30,30,30,True
200101,5,1.7289996477479745,3.3104809378859934,30.79766554140789,0.9807514218284269,19.571184600468012,1.1478310023288676,30,30,30,30,True
200101,6,0.2121327742302032,0.5717818616272052,29.35146633987487,1.2758109033472005,18.848904289233953,1.196077089888514,30,30,30,30,True
200101,7,0.18524913953535602,0.6423381926963067,28.419706011100043,0.953075257121516,18.27656807483436,0.9713502555419502,30,30,30,30,True
200101,8,0.33742326518664867,1.0015357733185764,28.85069864315999,0.782076963389432,18.594994315101793,0.8913546734671419,30,30,30,30,True
200101,9,0.8632243987163577,1.4590985054256083,28.86624681539866,0.820238786300298,18.10153382153736,0.9177373462734486,30,30,30,30,True
200101,10,1.8330159367409296,2.8576969999221333,30.175408787685374,0.801526192995375,18.962064475136685,0.7467434177441764,30,30,30,30,True
200101,11,1.2569748777775147,2.3263501460640543,30.544677706392697,0.6467659230464226,19.247156389855068,0.939676798128033,30,30,30,30,True
200101,12,5.852931702150298,23.983494462097713,32.55983100197281,0.5863035845079594,21.397262280235886,0.9906144707018016,30,30,30,30,True
200104,1,21.738057043661513,103.3367099259239,32.23805291898503,0.5031142497257487,20.92126535955792,0.9984031630584174,30,30,30,30,True
200104,2,75.86943279670885,138.50839849117628,32.860719933635416,0.414321775946806,22.88576163874917,1.0743414929147457,30,30,30,30,True
200104,3,127.07999180318686,226.31495790432277,32.692314785756764,0.5698640351571704,22.578914193833644,1.080096886791238,30,30,30,30,True
200104,4,16.76757408390851,30.442154997635217,31.60672801126141,0.4897292499497438,20.47284238192664,1.3884874401166902,30,30,30,30,True
200104,5,2.10617717446526,3.7437971497584153,30.355133832477314,0.9842504528873584,18.747363239343418,1.1650811347603902,30,30,30,30,True
200104,6,0.19290497591326083,0.39269229639330355,29.263540749240192,1.282396980213316,18.203071055211808,1.2225391390561369,30,30,30,30,True
200104,7,0.2030015259742846,0.7886155815246502,28.300734164921824,0.9636819354700177,17.5165573992903,1.0119473179953349,30,30,30,30,True
200104,8,0.3756954482486566,1.1846724206385721,28.644750370640867,0.7756237477681447,17.696496872341683,0.9124985857065824,30,30,30,30,True
200104,9,1.399303771334297,2.1259168699796103,28.834322114515274,0.8006019712087901,17.39643736519848,0.9267617356698465,30,30,30,30,True
200104,10,2.5000642375096516,3.6686949536914475,29.84112010107991,0.7806521920633481,17.968174393997682,0.734137252313397,30,30,30,30,True
200104,11,1.5594445772532428,2.5987274981422357,30.21053290836305,0.6046718105179153,18.325424112864727,0.9665456856568597,30,30,30,30,True
