UBIGEO,YEAR,RAIN_ANNUAL_MM,RAIN_ANNUAL_ANOM_MM,TMAX_ANNUAL_MEAN_C,TMAX_ANNUAL_ANOM_C,TMIN_ANNUAL_MEAN_C,TMIN_ANNUAL_ANOM_C,MONTHS_AVAILABLE
200101,1991,20.471910529451506,-149.022572950034,31.570637974699498,0.5862080237042973,20.38464216719029,0.09271223040858552,12
200101,1992,247.09419648797527,77.59971300848974,31.23272791667337,0.24829796567816764,20.9346158152137,0.6426858784319979,12
200101,1993,184.3059266214182,14.811443141932699,31.35858300477986,0.3741530537846556,20.87171690978885,0.5797869730071484,12
200101,1994,36.42511693629615,-133.06936654318935,30.939680568443254,-0.04474938255194635,20.4397764561355,0.14784651935380033,12
200101,1995,46.896242082402296,-122.59824139708321,30.952592955245397,-0.03183699574980429,20.00491519177972,-0.2870147450019835,12
200101,1996,21.25001404236009,-148.24446943712542,29.996448400770785,-0.9879815502244199,19.288156586065202,-1.0037733507165003,12
200101,1997,209.9617609185509,40.467277439065384,32.20991130912444,1.2254813581292392,22.386171202515957,2.094241265734254,12
200101,1998,1911.710535763294,1742.2160522838085,30.728445568514275,-0.2559843824809291,21.403054198862247,1.1111242620805417,12
200101,1999,162.88367540151458,-6.610808077970953,30.061365957243122,-0.9230639937520827,19.681499245401472,-0.6104306913802295,12
200101,2000,39.4881475011421,-130.0063359783434,30.3245836540423,-0.659846296952901,19.95556138979113,-0.33636854699057334,12
200101,2001,156.12547369602876,-13.369009783456761,29.885273032315776,-1.0991569186794248,20.00691445177421,-0.28501548500749213,12
200101,2002,188.22067558686243,18.726192107376924,30.832339511828817,-0.15209043916638768,20.331915085153437,0.03998514837173239,12
200101,2003,22.477316917388023,-147.0171665620975,30.7167021841387,-0.26772776685649785,19.76194679525627,-0.5299831415254305,12
200101,2004,15.00754534126339,-154.48693813822214,30.958996063835396,-0.02543388715980714,19.74899277672847,-0.5429371600532326,12
200101,2005,29.24141140551094,-140.25307207397458,30.686987945784953,-0.29744200521024994,19.682305439746703,-0.6096244970349988,12
200101,2006,74.88863147035936,-94.60585200912615,31.369500755140326,0.385070804145123,20.251062121836764,-0.04086781494493922,12
200101,2007,12.11541336776019,-157.37907011172533,30.692816786689573,-0.29161316430563033,19.480416294672178,-0.8115136421095249,12
200101,2008,133.67510376170947,-35.819379717776044,31.07075025208915,0.08632030109394595,20.51041470391058,0.21848476712887935,12
200101,2009,101.28941672394923,-68.20506675553627,31.307959082328384,0.3235291313331838,20.443782466438737,0.15185252965703247,12
200101,2010,46.19866036363426,-123.29582311585125,30.82595190593193,-0.1584780450632719,19.781197691835228,-0.5107322449464746,12
200101,2011,83.48256102557306,-86.01192245391245,31.198930560266135,0.2145006092709331,19.732798489756714,-0.5591314470249896,12
200101,2012,230.90207003276313,61.40758655327764,31.51867358873891,0.5342436377437103,20.646685303575925,0.35475536679422365,12
200101,2013,42.27367693957479,-127.22080653991073,30.42245259371219,-0.5619773572830121,19.49507595791602,-0.7968539788656841,12
200101,2014,21.49233019202235,-148.00215328746316,31.401737750885555,0.4173077998903508,20.413412717292353,0.1214827805106508,12
200101,2015,11.822987924232063,-157.67149555525344,31.789500863777572,0.8050709127823682,21.509122306601228,1.217192369819523,12
200101,2016,77.65694269207522,-91.83754078741029,31.630800423439084,0.64637047244388,20.737374186545647,0.4454442497639466,12
200101,2017,861.7550539585229,692.2605704790375,30.393641972930975,-0.5907879780642297,20.76397933189759,0.47204939511588656,12
200101,2018,17.634762185340424,-151.8597212941451,30.728318682860674,-0.256111268134525,20.018182731144503,-0.27374720563720256,12
200101,2019,61.659111904225966,-107.83537157525954,31.2093780242498,0.22494807325459773,20.436493987079064,0.14456405029736294,12
200101,2020,16.42783261136437,-153.06665086812114,31.517209239375884,0.5327792883806796,19.655716101545377,-0.6362138352363248,12
200101,2021,51.4923779612353,-118.0021055182502,30.855414393796792,-0.12901555719841085,19.69316583084566,-0.5987641059360413,12
200101,2022,21.196844545985563,-148.29763893349994,30.57895101327122,-0.40547893772398486,19.08276339411768,-1.2091665426640235,12
200101,2023,425.1827096400755,255.68822616058995,31.69522170919272,0.7107917581975128,21.978921096614055,1.6869911598323526,12
200101,2024,49.09187591621702,-120.4026075632685,31.252235064318608,0.26780511332340584,20.271288038645903,-0.020641898135798087,12
200104,1991,56.289447126637356,-199.73573713495418,31.120582041691787,0.5608487455596718,19.486589974502888,0.07537810670821947,12
200104,1992,397.1432722178817,141.11808795629017,30.76836748271441,0.20863418658229507,20.091229775555323,0.6800179077606515,12
200104,1993,285.7457776759271,29.720593414335564,30.83656637176595,0.2768330756338327,20.07071133620723,0.6594994684125574,12
200104,1994,92.54869392584202,-163.4764903357495,30.412812029398655,-0.14692126673345976,19.678642750772607,0.2674308829779382,12
200104,1995,65.67022822653594,-190.35495603505558,30.550071416046645,-0.009661880085469754,19.145425467173222,-0.2657864006214495,12
200104,1996,36.499920017467076,-219.52526424412443,29.619061671675652,-0.9406716244564622,18.44618959416506,-0.9650222736296116,12
200104,1997,234.41181085665215,-21.613373404939367,31.689735984388154,1.1300026882560408,21.54177025013634,2.1305583823416723,12
200104,1998,2344.913851111394,2088.8886668498026,30.327043886615495,-0.23268940951661943,20.583603782024742,1.1723919142300734,12
200104,1999,213.9905449340205,-42.034639327571014,29.639516076711146,-0.9202172194209671,18.860997713344428,-0.55021415445024,12
200104,2000,92.10132994125246,-163.92385432033905,29.849223582738784,-0.7105097133933324,19.139964371346675,-0.2712474964479969,12
200104,2001,349.25359692186055,93.22841266026903,29.42681762859527,-1.132915667536848,19.219768769436367,-0.19144309835830361,12
200104,2002,395.28996789016094,139.26478362856946,30.296125501605704,-0.26360779452641064,19.517206924720863,0.1059950569261933,12
200104,2003,44.52600743797545,-211.49917682361607,30.38241255122433,-0.17732074490778368,18.824262203912852,-0.5869496638818195,12
200104,2004,27.881000501994006,-228.14418375959752,30.589418971211213,0.029685675079097845,18.7751619062156,-0.6360499615790681,12
200104,2005,74.73562489104786,-181.28955937054366,30.39431982251872,-0.16541347361339417,18.726814981490175,-0.6843968863044972,12
200104,2006,127.01229650277102,-129.0128877588205,30.992444315587964,0.4327110194558485,19.3284728949187,-0.08273897287597028,12
200104,2007,33.68728019977775,-222.3379040618138,30.309142574697006,-0.25059072143510647,18.523356242835398,-0.8878556249592734,12
200104,2008,256.78859697089706,0.7634127093055163,30.50682430275982,-0.052908993372294745,19.704157805461485,0.29294593766681515,12
200104,2009,145.2249559193421,-110.80022834224941,30.805473489066486,0.24574019293437122,19.601182449359513,0.18997058156484345,12
200104,2010,116.310894506001,-139.71428975559053,30.299953764358282,-0.2597795317738312,18.889525624109996,-0.5216862436846729,12
200104,2011,112.55461023893135,-143.4705740226602,30.78451667345547,0.22478337732335874,18.793552197253742,-0.6176596705409274,12
200104,2012,338.87215798423944,82.8469737226479,31.048143117750325,0.48840982161821006,19.782147650342043,0.3709357825473738,12
200104,2013,85.66061774344371,-170.36456651814783,30.123103182858117,-0.43663011327399975,18.53952405822089,-0.8716878095737783,12
200104,2014,68.53280457232825,-187.49237968926326,31.05532154366465,0.4955882475325379,19.435983506705025,0.024771638910352205,12
200104,2015,79.83206526399498,-176.19311899759657,31.381017860055522,0.8212845639234096,20.61881030809147,1.2075984402967983,12
200104,2016,135.78710144303727,-120.23808281855426,31.276132766418595,0.71639947028648,19.824975113827488,0.41376324603281606,12
200104,2017,1250.0711214578919,994.0459371963003,29.963485400128935,-0.5962478960031768,19.9209645276298,0.5097526598351282,12
200104,2018,26.280859126948002,-229.7443251346435,30.354253791125885,-0.20547950500623072,19.097958331229872,-0.3132535365647966,12
200104,2019,156.29427671353037,-99.73090754806114,30.765983803661356,0.20625050752924276,19.52761111901415,0.11639925121948025,12
200104,2020,36.844815527962524,-219.180368733629,31.224127279473105,0.6643939833409895,18.639794403836138,-0.7714174639585333,12
200104,2021,101.06893833357913,-154.9562459280124,30.526086159212777,-0.03364713691933918,18.757813863841083,-0.6533980039535869,12
200104,2022,56.59903311049287,-199.42615115109868,30.241373219125848,-0.31836007700626556,18.102048502277782,-1.3091633655168893,12
200104,2023,648.1329099316736,392.10772567008206,31.28721531561723,0.7274820194851189,21.06615073718535,1.6549388693906808,12
200104,2024,81.23833643136086,-174.78684783023067,31.00203594116344,0.44230264503132766,19.312396227553634,-0.09881564024103599,12
200105,1991,26.562585291647824,-103.34691622279067,30.671812424559388,0.5067487364985315,19.260812830864257,0.21131851229402354,12
200105,1992,194.1602676406635,64.250766126225,30.409920873205206,0.24485718514434782,19.82966739770111,0.7801730791308753,12
200105,1993,177.51759061278162,47.60808909834313,30.537353347090136,0.372289659029283,19.72853646867026,0.6790421501000271,12
200105,1994,43.96054848179251,-85.94895303264599,29.957405450069114,-0.2076582379917431,19.3466807337569,0.29718641518666544,12
200105,1995,35.40509408255955,-94.50440743187895,30.10658463455817,-0.05847905350268364,18.80735998471721,-0.242134333853025,12
200105,1996,24.966011110158473,-104.94349040428003,29.282671123599687,-0.8823925644611675,17.980749017520417,-1.0687453010498182,12
200105,1997,120.143074298899,-9.766427215539508,31.56072726399041,1.3956635759295557,21.239566253145025,2.190071934574791,12
200105,1998,1144.7591466077736,1014.8496450933351,30.035932710205085,-0.12913097785577085,20.254814862657305,1.20532054408707,12
200105,1999,141.45323878909525,11.543737274656761,29.242876655799364,-0.9221870322614887,18.427782045212982,-0.6217122733572543,12
200105,2000,59.56129886859207,-70.34820264584643,29.45369261184187,-0.7113710762189859,18.753810223347013,-0.295684095223223,12
200105,2001,108.76241181076404,-21.147089703674464,29.2273155741256,-0.9377481139352545,18.72382920764933,-0.32566511092090433,12
200105,2002,136.69408358360997,6.784582069171457,29.916970569980197,-0.24809311808065745,19.122945886626706,0.07345156805647009,12
200105,2003,22.63461229919146,-107.27488921524703,30.007272779590448,-0.15779090847040766,18.41412189148066,-0.6353724270895738,12
200105,2004,22.55891853813583,-107.35058297630266,30.124314171602723,-0.040749516458131595,18.41724991615796,-0.6322444024122765,12
200105,2005,36.054970356511106,-93.85453115792738,30.060082693247224,-0.10498099481362999,18.352517205517987,-0.6969771130522492,12
200105,2006,89.74320199708039,-40.166299517358105,30.627442524453254,0.4623788363923979,19.037512568696624,-0.011981749873611372,12
200105,2007,23.949807514339074,-105.95969400009942,29.87557412040931,-0.2894895676515441,18.120436934243905,-0.9290573843263297,12
200105,2008,184.15098361599357,54.24148210155508,30.078282758801617,-0.08678092925923735,19.32740675891435,0.27791244034411583,12
200105,2009,68.10769880553896,-61.80180270889954,30.34158611394416,0.1765224258833067,19.25855972523103,0.20906540666079584,12
200105,2010,66.51293645678832,-63.39656505765017,29.77593492649954,-0.3891287615613172,18.498889286585452,-0.5506050319847829,12
200105,2011,87.7658126377122,-42.14368887672629,30.226659315528767,0.061595627467913104,18.514768918961376,-0.5347253996088602,12
200105,2012,173.01536194654616,43.10586043210767,30.507274567440874,0.3422108793800174,19.481593953363305,0.43209963479307206,12
200105,2013,49.77918199426288,-80.13031952017562,29.668023417002747,-0.4970402710581074,18.123115487003865,-0.9263788315663705,12
200105,2014,32.04041167475727,-97.86908983968122,30.60440917344758,0.43934548538672163,19.130726008699977,0.08123169012974192,12
200105,2015,39.588283712328945,-90.32121780210956,31.014645417160935,0.8495817291000801,20.261215807969165,1.2117214893989308,12
200105,2016,45.95826199044328,-83.95123952399521,30.959774735427402,0.7947110473665466,19.395237507025083,0.34574318845484786,12
200105,2017,632.7640297626664,502.85452824822795,29.735506104757103,-0.4295575833037549,19.476290944534647,0.4267966259644111,12
200105,2018,14.519864238158462,-115.38963727628003,29.95392778511216,-0.21113590294869558,18.690341493024096,-0.35915282554613803,12
200105,2019,70.59532759304268,-59.31417392139581,30.29672648888057,0.13166280081971346,19.139616802941998,0.09012248437176258,12
200105,2020,23.60002912132055,-106.30947239311794,30.691210309495023,0.5261466214341711,18.368673434887068,-0.6808208836831646,12
200105,2021,37.553402945640016,-92.35609856879849,30.03561910108546,-0.1294445869753981,18.438868642494118,-0.6106256760761157,12
200105,2022,24.467653230014854,-105.44184828442364,29.630741818086637,-0.5343218699742179,17.794816443312808,-1.2546778752574266,12
200105,2023,390.4928010326022,260.5832995181637,31.03374387683399,0.8686801887731361,20.74014812323968,1.6906538046694486,12
200105,2024,56.606075604636075,-73.30342590980241,30.602996025801687,0.4379323377408311,19.041569955120753,-0.00792436344947974,12
200107,1991,12.608386406402914,-98.19141464028029,31.16256021816398,0.45376954903657235,20.56631553620963,0.21204181481735507,12
200107,1992,141.44628303452737,30.646481987844165,30.99322974313931,0.28443907401190166,21.129170893979133,0.7748971725868609,12
200107,1993,118.10813184976182,7.308330803078616,31.10231664781759,0.39352597869018496,20.945515880216274,0.5912421588239992,12
200107,1994,46.2388037249933,-64.5609973216899,30.579020459893517,-0.1297702092338895,20.524559284205452,0.17028556281317778,12
200107,1995,19.905928270244576,-90.89387277643863,30.629228493630862,-0.07956217549654632,20.050984257228972,-0.30328946416330194,12
200107,1996,11.372348450090705,-99.4274525965925,29.772666376405443,-0.9361242927219623,19.25026684794308,-1.1040068734491915,12
200107,1997,121.14547141910273,10.345670372419534,32.091615202036884,1.3828245329094795,22.565345486767843,2.2110717653755714,12
200107,1998,1205.9848475820013,1095.1850465353182,30.604709515443332,-0.10408115368407748,21.484426559409858,1.130152838017587,12
200107,1999,105.66636246500238,-5.133438581680806,29.83611150115998,-0.8726791679674294,19.650810024866676,-0.7034636965255979,12
200107,2000,19.00149986698594,-91.79830117969726,30.058866272667668,-0.6499243964597413,19.997678850290978,-0.3565948711012972,12
200107,2001,85.06899900480005,-25.730802041883145,29.774681743552673,-0.9341089255747356,19.975629577811155,-0.37864414358111925,12
200107,2002,123.69962072078383,12.899819674100627,30.65619311311229,-0.052597556015116474,20.383078881087062,0.02880515969478766,12
200107,2003,18.51792984750795,-92.28187119917524,30.595170427578818,-0.11362024154859214,19.775504116601642,-0.5787696047906294,12
200107,2004,15.089161801521396,-95.7106392451618,30.69375080104375,-0.015039868083661645,19.80615108430072,-0.5481226370915543,12
200107,2005,27.737502489161628,-83.06229855752157,30.484108792211376,-0.2246818769160314,19.726941585229408,-0.627332136162865,12
200107,2006,51.26724811920138,-59.53255292748181,31.095389515197766,0.3865988460703577,20.369649251428754,0.015375530036480178,12
200107,2007,13.552058277387438,-97.24774276929577,30.336585658966897,-0.37220501016051255,19.493440421307408,-0.8608333000848637,12
200107,2008,131.30072926729,20.500928220606788,30.716694135555542,0.007903466428135589,20.545850842670642,0.19157712127836776,12
200107,2009,49.663203036006735,-61.136598010676465,30.91115355903811,0.20236288991069853,20.517161563491396,0.16288784209912185,12
