CROP_CODE,CROP_STD,UBIGEO,DISTRICT_NAME,CAMPAIGN,CAMPAIGN_START_YEAR,CAMPAIGN_END_YEAR,CAMPAIGN_START_YEARMONTH,CAMPAIGN_END_YEARMONTH,EXPECTED_MONTHS_N,SOURCE_MONTHS_PRESENT_N,SOURCE_ROWS_N,CAMPAIGN_PRODUCCION_TM,CAMPAIGN_COSECHA_HA,TRANSIENT_CAMPAIGN_YIELD_RAW,OUTCOME_UNIT,OUTCOME_VALID_FLAG,EXCLUSION_REASON,ZERO_DENOMINATOR_FLAG,NO_SOURCE_ROWS_FLAG,MISSING_NUMERATOR_FLAG,MISSING_DENOMINATOR_FLAG,SILENT_MISSING_TO_ZERO_USED,OUTCOME_CONTRACT_ID
14010020000,ARROZ,200101,PIURA,2016/2017,2016,2017,201608,201707,12,12,12,2558,310,8.251612903225806451612903226,TM_PER_HA,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,JOINT_C0_TRANSIENT_CAMPAIGN_YIELD_RAW_V1
14010020000,ARROZ,200101,PIURA,2017/2018,2017,2018,201708,201807,12,12,12,1764,222,7.945945945945945945945945946,TM_PER_HA,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,JOINT_C0_TRANSIENT_CAMPAIGN_YIELD_RAW_V1
14010020000,ARROZ,200101,PIURA,2018/2019,2018,2019,201808,201907,12,12,12,0,0,,TM_PER_HA,FALSE,ZERO_DENOMINATOR,TRUE,FALSE,FALSE,FALSE,FALSE,JOINT_C0_TRANSIENT_CAMPAIGN_YIELD_RAW_V1
14010020000,ARROZ,200101,PIURA,2019/2020,2019,2020,201908,202007,12,12,12,520,52,10,TM_PER_HA,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,JOINT_C0_TRANSIENT_CAMPAIGN_YIELD_RAW_V1
14010020000,ARROZ,200101,PIURA,2020/2021,2020,2021,202008,202107,12,12,12,2764,338,8.177514792899408284023668639,TM_PER_HA,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,JOINT_C0_TRANSIENT_CAMPAIGN_YIELD_RAW_V1
14010020000,ARROZ,200101,PIURA,2021/2022,2021,2022,202108,202207,12,12,12,1637,201,8.144278606965174129353233831,TM_PER_HA,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,JOINT_C0_TRANSIENT_CAMPAIGN_YIELD_RAW_V1
14010020000,ARROZ,200101,PIURA,2022/2023,2022,2023,202208,202307,12,12,12,105,15,7,TM_PER_HA,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,JOINT_C0_TRANSIENT_CAMPAIGN_YIELD_RAW_V1
14010020000,ARROZ,200104,CASTILLA,2016/2017,2016,2017,201608,201707,12,0,0,,,,TM_PER_HA,FALSE,INCOMPLETE_CAMPAIGN_NO_SOURCE_ROWS,FALSE,TRUE,FALSE,FALSE,FALSE,JOINT_C0_TRANSIENT_CAMPAIGN_YIELD_RAW_V1
14010020000,ARROZ,200104,CASTILLA,2017/2018,2017,2018,201708,201807,12,5,5,0,0,,TM_PER_HA,FALSE,ZERO_DENOMINATOR,TRUE,FALSE,FALSE,FALSE,FALSE,JOINT_C0_TRANSIENT_CAMPAIGN_YIELD_RAW_V1
14010020000,ARROZ,200104,CASTILLA,2018/2019,2018,2019,201808,201907,12,11,11,35,5,7,TM_PER_HA,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,JOINT_C0_TRANSIENT_CAMPAIGN_YIELD_RAW_V1
14010020000,ARROZ,200104,CASTILLA,2019/2020,2019,2020,201908,202007,12,4,4,20,2,10,TM_PER_HA,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,JOINT_C0_TRANSIENT_CAMPAIGN_YIELD_RAW_V1
