UBIGEO,COD_CULTIVO,CROP_STD,ANO,TEMPORAL_ROLE,VARIABLE,SHARE_FIELD,ANNUAL_DENOMINATOR,DENOMINATOR_STATUS,SOURCE_12_MONTHS_PRESENT,MISSING_MONTH_COUNT,POSITIVE_MONTH_COUNT,NORMALIZED_ENTROPY,CIRCULAR_R,CIRCULAR_MEAN_ANGLE_RAD,CIRCULAR_MEAN_MONTH,K50,K50_START_MONTH,K50_END_MONTH,K50_CAPTURED_SHARE,K75,K75_START_MONTH,K75_END_MONTH,K75_CAPTURED_SHARE,K90,K90_START_MONTH,K90_END_MONTH,K90_CAPTURED_SHARE,DESCRIPTIVE_ONLY,SELECTION_STATUS
200101,13010170102,LIMON SUTIL,2020,MAIN_TEMPORAL_STRUCTURE,PRODUCCION,PRODUCTION_SHARE,12618.0,POSITIVE,True,0,12,0.9890048872134845,0.12240927555448093,2.5588337523397398,5.887012482823028,5.0,3.0,7.0,0.501347281661119,8.0,3.0,10.0,0.7521001743540973,11.0,2.0,12.0,0.955460453320653,True,NOT_SELECTED_STAGE_A
200101,13010170102,LIMON SUTIL,2021,MAIN_TEMPORAL_STRUCTURE,SIEMBRA,SOWN_SHARE,0.0,ZERO,True,0,0,,,,,,,,,,,,,,,,,True,NOT_SELECTED_STAGE_A
200101,13010170102,LIMON SUTIL,2021,MAIN_TEMPORAL_STRUCTURE,COSECHA,HARVEST_SHARE,564.0,POSITIVE,True,0,1,-0.0,1.0,5.235987755982989,11.0,1.0,11.0,11.0,1.0,1.0,11.0,11.0,1.0,1.0,11.0,11.0,1.0,True,NOT_SELECTED_STAGE_A
200101,13010170102,LIMON SUTIL,2021,MAIN_TEMPORAL_STRUCTURE,PRODUCCION,PRODUCTION_SHARE,15736.0,POSITIVE,True,0,12,0.9991721022795446,0.028214230772737943,0.3546139339970151,1.6772627258186568,6.0,12.0,5.0,0.5176664972038638,9.0,9.0,5.0,0.7666497203863751,11.0,7.0,5.0,0.9274275546517539,True,NOT_SELECTED_STAGE_A
200101,13010170102,LIMON SUTIL,2022,MAIN_TEMPORAL_STRUCTURE,SIEMBRA,SOWN_SHARE,40.0,POSITIVE,True,0,1,-0.0,1.0,1.5707963267948966,4.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,True,NOT_SELECTED_STAGE_A
200101,13010170102,LIMON SUTIL,2022,MAIN_TEMPORAL_STRUCTURE,COSECHA,HARVEST_SHARE,564.0,POSITIVE,True,0,1,-0.0,1.0,5.759586531581287,12.0,1.0,12.0,12.0,1.0,1.0,12.0,12.0,1.0,1.0,12.0,12.0,1.0,True,NOT_SELECTED_STAGE_A
200101,13010170102,LIMON SUTIL,2022,MAIN_TEMPORAL_STRUCTURE,PRODUCCION,PRODUCTION_SHARE,6255.0,POSITIVE,True,0,12,0.8843990549156491,0.3158397312263862,3.7987864307974504,8.25514765854199,5.0,8.0,12.0,0.5764988009592326,7.0,6.0,12.0,0.806554756195044,8.0,5.0,12.0,0.9029576338928857,True,NOT_SELECTED_STAGE_A
200101,13010170102,LIMON SUTIL,2023,MAIN_TEMPORAL_STRUCTURE,SIEMBRA,SOWN_SHARE,312.0,POSITIVE,True,0,3,0.374035984814812,0.8068558171956087,1.503347304420027,3.8711818561878837,1.0,3.0,3.0,0.6153846153846154,3.0,3.0,5.0,0.8333333333333334,4.0,3.0,6.0,1.0,True,NOT_SELECTED_STAGE_A
200101,13010170102,LIMON SUTIL,2023,MAIN_TEMPORAL_STRUCTURE,COSECHA,HARVEST_SHARE,1024.0,POSITIVE,True,0,1,-0.0,1.0,5.759586531581287,12.0,1.0,12.0,12.0,1.0,1.0,12.0,12.0,1.0,1.0,12.0,12.0,1.0,True,NOT_SELECTED_STAGE_A
200101,13010170102,LIMON SUTIL,2023,MAIN_TEMPORAL_STRUCTURE,PRODUCCION,PRODUCTION_SHARE,7700.0,POSITIVE,True,0,12,0.946566356230331,0.24003481772132126,1.097634442712388,3.0963273671871328,5.0,2.0,6.0,0.5558441558441558,7.0,12.0,6.0,0.7794805194805194,9.0,11.0,7.0,0.9249350649350649,True,NOT_SELECTED_STAGE_A
200101,13010170102,LIMON SUTIL,2024,CONTEXTUAL_ONLY_NOT_FOR_SELECTION,SIEMBRA,SOWN_SHARE,6.0,POSITIVE,True,0,1,-0.0,1.0,3.6651914291880914,7.999999999999999,1.0,8.0,8.0,1.0,1.0,8.0,8.0,1.0,1.0,8.0,8.0,1.0,True,NOT_SELECTED_STAGE_A
200101,13010170102,LIMON SUTIL,2024,CONTEXTUAL_ONLY_NOT_FOR_SELECTION,COSECHA,HARVEST_SHARE,,ALL_MISSING,True,12,0,,,,,,,,,,,,,,,,,True,NOT_SELECTED_STAGE_A
200101,13010170102,LIMON SUTIL,2024,CONTEXTUAL_ONLY_NOT_FOR_SELECTION,PRODUCCION,PRODUCTION_SHARE,14891.0,POSITIVE,True,0,12,0.9896088347188601,0.12043073033308559,2.1791680629970824,5.161904428647718,6.0,3.0,8.0,0.5785373715667181,9.0,1.0,9.0,0.8233832516285005,11.0,12.0,10.0,0.9597072056947149,True,NOT_SELECTED_STAGE_A
200101,13010210000,MANGO,2015,AUG_DEC_ANTECEDENT_SUPPORT_ONLY,SIEMBRA,SOWN_SHARE,0.0,PARTIAL_MISSING,False,0,0,,,,,,,,,,,,,,,,,True,NOT_SELECTED_STAGE_A
200101,13010210000,MANGO,2015,AUG_DEC_ANTECEDENT_SUPPORT_ONLY,COSECHA,HARVEST_SHARE,619.0,PARTIAL_MISSING,False,0,1,,,,,,,,,,,,,,,,,True,NOT_SELECTED_STAGE_A
200101,13010210000,MANGO,2015,AUG_DEC_ANTECEDENT_SUPPORT_ONLY,PRODUCCION,PRODUCTION_SHARE,12382.0,PARTIAL_MISSING,False,0,2,,,,,,,,,,,,,,,,,True,NOT_SELECTED_STAGE_A
