ALTERNATIVE_ID,SOURCE_CAMPAIGN,UBIGEO,DISTRICT_NAME,CROP_CODE,CROP_STD,CAMPAIGN_MONTH_ORDER,CALENDAR_YEAR,CALENDAR_MONTH,YEAR_MONTH,SIEMBRA_HA,CAMPAIGN_TOTAL_HA,WITHIN_CAMPAIGN_SHARE,OBSERVED_ZERO_FLAG,SOURCE_MISSING_FLAG,EMPIRICALLY_REALIZED,REFERENCE_CONFIGURATION_ROLE
C0B5-A2020-2021,2020/2021,200105,CATACAOS,14010020000,ARROZ,12,2021,7,202107,0,2687,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200105,CATACAOS,14010070000,MAIZ AMARILLO DURO,1,2020,8,202008,916,2156,0.4248608534322820037105751391,FALSE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200105,CATACAOS,14010070000,MAIZ AMARILLO DURO,2,2020,9,202009,0,2156,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200105,CATACAOS,14010070000,MAIZ AMARILLO DURO,3,2020,10,202010,184,2156,0.08534322820037105751391465677,FALSE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200105,CATACAOS,14010070000,MAIZ AMARILLO DURO,4,2020,11,202011,0,2156,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200105,CATACAOS,14010070000,MAIZ AMARILLO DURO,5,2020,12,202012,0,2156,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200105,CATACAOS,14010070000,MAIZ AMARILLO DURO,6,2021,1,202101,38,2156,0.01762523191094619666048237477,FALSE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200105,CATACAOS,14010070000,MAIZ AMARILLO DURO,7,2021,2,202102,531,2156,0.2462894248608534322820037106,FALSE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200105,CATACAOS,14010070000,MAIZ AMARILLO DURO,8,2021,3,202103,187,2156,0.08673469387755102040816326531,FALSE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200105,CATACAOS,14010070000,MAIZ AMARILLO DURO,9,2021,4,202104,100,2156,0.04638218923933209647495361781,FALSE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200105,CATACAOS,14010070000,MAIZ AMARILLO DURO,10,2021,5,202105,200,2156,0.09276437847866419294990723562,FALSE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200105,CATACAOS,14010070000,MAIZ AMARILLO DURO,11,2021,6,202106,0,2156,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200105,CATACAOS,14010070000,MAIZ AMARILLO DURO,12,2021,7,202107,0,2156,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200108,EL TALLAN,14010020000,ARROZ,1,2020,8,202008,24,1161,0.02067183462532299741602067183,FALSE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200108,EL TALLAN,14010020000,ARROZ,2,2020,9,202009,72,1161,0.0620155038759689922480620155,FALSE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200108,EL TALLAN,14010020000,ARROZ,3,2020,10,202010,71,1161,0.06115417743324720068906115418,FALSE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200108,EL TALLAN,14010020000,ARROZ,4,2020,11,202011,0,1161,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200108,EL TALLAN,14010020000,ARROZ,5,2020,12,202012,0,1161,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200108,EL TALLAN,14010020000,ARROZ,6,2021,1,202101,24,1161,0.02067183462532299741602067183,FALSE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200108,EL TALLAN,14010020000,ARROZ,7,2021,2,202102,849,1161,0.7312661498708010335917312661,FALSE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200108,EL TALLAN,14010020000,ARROZ,8,2021,3,202103,121,1161,0.1042204995693367786391042205,FALSE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200108,EL TALLAN,14010020000,ARROZ,9,2021,4,202104,0,1161,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200108,EL TALLAN,14010020000,ARROZ,10,2021,5,202105,0,1161,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200108,EL TALLAN,14010020000,ARROZ,11,2021,6,202106,0,1161,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200108,EL TALLAN,14010020000,ARROZ,12,2021,7,202107,0,1161,0.0000000000000000000000000001,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200108,EL TALLAN,14010070000,MAIZ AMARILLO DURO,1,2020,8,202008,420,680,0.6176470588235294117647058824,FALSE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200108,EL TALLAN,14010070000,MAIZ AMARILLO DURO,2,2020,9,202009,0,680,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200108,EL TALLAN,14010070000,MAIZ AMARILLO DURO,3,2020,10,202010,0,680,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
