UBIGEO,COD_CULTIVO,CROP_STD,CAMPAIGN_ID,OUTCOME_VALID_FLAG,EXCLUSION_REASON,EXPOSURE_VALID,EXPOSURE_FAILURE_REASON,IDENTIFIED_OBSERVED_WEIGHT_FRACTION,INTERSECTION_STATUS
200105,14010070000,MAIZ AMARILLO DURO,2016/2017,TRUE,<NA>,TRUE,NONE,0.66431372549019607,OUTCOME_VALID_EXPOSURE_VALID
200105,14010070000,MAIZ AMARILLO DURO,2017/2018,TRUE,<NA>,TRUE,NONE,0.80645161290322576,OUTCOME_VALID_EXPOSURE_VALID
200105,14010070000,MAIZ AMARILLO DURO,2018/2019,TRUE,<NA>,TRUE,NONE,0.59440559440559437,OUTCOME_VALID_EXPOSURE_VALID
200105,14010070000,MAIZ AMARILLO DURO,2019/2020,TRUE,<NA>,TRUE,NONE,0.48751300728407909,OUTCOME_VALID_EXPOSURE_VALID
200105,14010070000,MAIZ AMARILLO DURO,2020/2021,TRUE,<NA>,TRUE,NONE,0.46605795950774115,OUTCOME_VALID_EXPOSURE_VALID
200105,14010070000,MAIZ AMARILLO DURO,2021/2022,TRUE,<NA>,TRUE,NONE,0.50459197061138805,OUTCOME_VALID_EXPOSURE_VALID
200105,14010070000,MAIZ AMARILLO DURO,2022/2023,TRUE,<NA>,TRUE,NONE,0.54887983706720977,OUTCOME_VALID_EXPOSURE_VALID
200107,14010020000,ARROZ,2016/2017,TRUE,<NA>,TRUE,NONE,0.36385936222403925,OUTCOME_VALID_EXPOSURE_VALID
200107,14010020000,ARROZ,2017/2018,TRUE,<NA>,TRUE,NONE,0.63102232667450053,OUTCOME_VALID_EXPOSURE_VALID
200107,14010020000,ARROZ,2018/2019,TRUE,<NA>,TRUE,NONE,0.5093099671412924,OUTCOME_VALID_EXPOSURE_VALID
200107,14010020000,ARROZ,2019/2020,TRUE,<NA>,TRUE,NONE,0.42782608695652175,OUTCOME_VALID_EXPOSURE_VALID
200107,14010020000,ARROZ,2020/2021,TRUE,<NA>,TRUE,NONE,0.5467625899280576,OUTCOME_VALID_EXPOSURE_VALID
200107,14010020000,ARROZ,2021/2022,TRUE,<NA>,FALSE,NO_POSITIVE_UNAMBIGUOUS_ASSIGNED_SIEMBRA,0,OUTCOME_VALID_EXPOSURE_INVALID
200107,14010020000,ARROZ,2022/2023,TRUE,<NA>,TRUE,NONE,0.25432276657060521,OUTCOME_VALID_EXPOSURE_VALID
200107,14010070000,MAIZ AMARILLO DURO,2016/2017,TRUE,<NA>,TRUE,NONE,0.48502994011976047,OUTCOME_VALID_EXPOSURE_VALID
200107,14010070000,MAIZ AMARILLO DURO,2017/2018,TRUE,<NA>,TRUE,NONE,0.6033519553072626,OUTCOME_VALID_EXPOSURE_VALID
200107,14010070000,MAIZ AMARILLO DURO,2018/2019,TRUE,<NA>,TRUE,NONE,0.47301136363636365,OUTCOME_VALID_EXPOSURE_VALID
200107,14010070000,MAIZ AMARILLO DURO,2019/2020,TRUE,<NA>,TRUE,NONE,0.51621621621621616,OUTCOME_VALID_EXPOSURE_VALID
200107,14010070000,MAIZ AMARILLO DURO,2020/2021,TRUE,<NA>,TRUE,NONE,0.45020576131687245,OUTCOME_VALID_EXPOSURE_VALID
200107,14010070000,MAIZ AMARILLO DURO,2021/2022,TRUE,<NA>,TRUE,NONE,0.49892703862660942,OUTCOME_VALID_EXPOSURE_VALID
200107,14010070000,MAIZ AMARILLO DURO,2022/2023,TRUE,<NA>,TRUE,NONE,0.47047619047619049,OUTCOME_VALID_EXPOSURE_VALID
200108,14010020000,ARROZ,2016/2017,TRUE,<NA>,TRUE,NONE,0.17244846656611362,OUTCOME_VALID_EXPOSURE_VALID
200108,14010020000,ARROZ,2017/2018,TRUE,<NA>,TRUE,NONE,0.41111111111111109,OUTCOME_VALID_EXPOSURE_VALID
200108,14010020000,ARROZ,2018/2019,TRUE,<NA>,TRUE,NONE,0.21257861635220127,OUTCOME_VALID_EXPOSURE_VALID
200108,14010020000,ARROZ,2019/2020,TRUE,<NA>,TRUE,NONE,0.47508896797153027,OUTCOME_VALID_EXPOSURE_VALID
200108,14010020000,ARROZ,2020/2021,TRUE,<NA>,TRUE,NONE,0.6578115117014548,OUTCOME_VALID_EXPOSURE_VALID
200108,14010020000,ARROZ,2021/2022,TRUE,<NA>,FALSE,NO_POSITIVE_UNAMBIGUOUS_ASSIGNED_SIEMBRA,0,OUTCOME_VALID_EXPOSURE_INVALID
200108,14010020000,ARROZ,2022/2023,TRUE,<NA>,TRUE,NONE,0.44399538106235564,OUTCOME_VALID_EXPOSURE_VALID
200108,14010070000,MAIZ AMARILLO DURO,2016/2017,TRUE,<NA>,TRUE,NONE,0.87005649717514122,OUTCOME_VALID_EXPOSURE_VALID
200108,14010070000,MAIZ AMARILLO DURO,2017/2018,TRUE,<NA>,TRUE,NONE,0.87635574837310193,OUTCOME_VALID_EXPOSURE_VALID
200108,14010070000,MAIZ AMARILLO DURO,2018/2019,TRUE,<NA>,TRUE,NONE,0.43822075782537068,OUTCOME_VALID_EXPOSURE_VALID
200108,14010070000,MAIZ AMARILLO DURO,2019/2020,TRUE,<NA>,TRUE,NONE,0.39622641509433965,OUTCOME_VALID_EXPOSURE_VALID
200108,14010070000,MAIZ AMARILLO DURO,2020/2021,TRUE,<NA>,TRUE,NONE,0.42452830188679247,OUTCOME_VALID_EXPOSURE_VALID
200108,14010070000,MAIZ AMARILLO DURO,2021/2022,TRUE,<NA>,TRUE,NONE,0.53055051421657595,OUTCOME_VALID_EXPOSURE_VALID
200108,14010070000,MAIZ AMARILLO DURO,2022/2023,TRUE,<NA>,TRUE,NONE,0.53430145217826741,OUTCOME_VALID_EXPOSURE_VALID
200109,14010020000,ARROZ,2016/2017,TRUE,<NA>,TRUE,NONE,0.30749174343820618,OUTCOME_VALID_EXPOSURE_VALID
200109,14010020000,ARROZ,2017/2018,TRUE,<NA>,TRUE,NONE,0.50952738184546131,OUTCOME_VALID_EXPOSURE_VALID
200109,14010020000,ARROZ,2018/2019,TRUE,<NA>,TRUE,NONE,0.40178867174561111,OUTCOME_VALID_EXPOSURE_VALID
200109,14010020000,ARROZ,2019/2020,TRUE,<NA>,TRUE,NONE,0.22445199135535659,OUTCOME_VALID_EXPOSURE_VALID
200109,14010020000,ARROZ,2020/2021,TRUE,<NA>,TRUE,NONE,0.44607110845533315,OUTCOME_VALID_EXPOSURE_VALID
200109,14010020000,ARROZ,2021/2022,TRUE,<NA>,TRUE,NONE,0.46943483275663206,OUTCOME_VALID_EXPOSURE_VALID
200109,14010020000,ARROZ,2022/2023,TRUE,<NA>,TRUE,NONE,0.49548872180451126,OUTCOME_VALID_EXPOSURE_VALID
200109,14010070000,MAIZ AMARILLO DURO,2016/2017,FALSE,INCOMPLETE_CAMPAIGN_NO_SOURCE_ROWS,FALSE,NO_POSITIVE_UNAMBIGUOUS_ASSIGNED_SIEMBRA,,OUTCOME_INVALID_EXPOSURE_INVALID
200109,14010070000,MAIZ AMARILLO DURO,2017/2018,FALSE,INCOMPLETE_CAMPAIGN_NO_SOURCE_ROWS,FALSE,NO_POSITIVE_UNAMBIGUOUS_ASSIGNED_SIEMBRA,,OUTCOME_INVALID_EXPOSURE_INVALID
200109,14010070000,MAIZ AMARILLO DURO,2018/2019,FALSE,INCOMPLETE_CAMPAIGN_NO_SOURCE_ROWS,FALSE,NO_POSITIVE_UNAMBIGUOUS_ASSIGNED_SIEMBRA,,OUTCOME_INVALID_EXPOSURE_INVALID
200109,14010070000,MAIZ AMARILLO DURO,2019/2020,FALSE,INCOMPLETE_CAMPAIGN_NO_SOURCE_ROWS,FALSE,NO_POSITIVE_UNAMBIGUOUS_ASSIGNED_SIEMBRA,,OUTCOME_INVALID_EXPOSURE_INVALID
200109,14010070000,MAIZ AMARILLO DURO,2020/2021,FALSE,INCOMPLETE_CAMPAIGN_NO_SOURCE_ROWS,FALSE,NO_POSITIVE_UNAMBIGUOUS_ASSIGNED_SIEMBRA,,OUTCOME_INVALID_EXPOSURE_INVALID
200109,14010070000,MAIZ AMARILLO DURO,2021/2022,TRUE,<NA>,FALSE,NO_POSITIVE_UNAMBIGUOUS_ASSIGNED_SIEMBRA,0,OUTCOME_VALID_EXPOSURE_INVALID
200109,14010070000,MAIZ AMARILLO DURO,2022/2023,TRUE,<NA>,TRUE,NONE,0.55839285714285714,OUTCOME_VALID_EXPOSURE_VALID
200110,14010020000,ARROZ,2016/2017,TRUE,<NA>,TRUE,NONE,0.18925344745601522,OUTCOME_VALID_EXPOSURE_VALID
200110,14010020000,ARROZ,2017/2018,TRUE,<NA>,TRUE,NONE,0.4274602026049204,OUTCOME_VALID_EXPOSURE_VALID
200110,14010020000,ARROZ,2018/2019,TRUE,<NA>,TRUE,NONE,0.34198331788693237,OUTCOME_VALID_EXPOSURE_VALID
200110,14010020000,ARROZ,2019/2020,TRUE,<NA>,TRUE,NONE,0.3003577817531306,OUTCOME_VALID_EXPOSURE_VALID
200110,14010020000,ARROZ,2020/2021,TRUE,<NA>,TRUE,NONE,0.41503946821769838,OUTCOME_VALID_EXPOSURE_VALID
200110,14010020000,ARROZ,2021/2022,TRUE,<NA>,TRUE,NONE,0.31443426590740281,OUTCOME_VALID_EXPOSURE_VALID
200110,14010020000,ARROZ,2022/2023,TRUE,<NA>,TRUE,NONE,0.23199688594783963,OUTCOME_VALID_EXPOSURE_VALID
200110,14010070000,MAIZ AMARILLO DURO,2016/2017,TRUE,<NA>,TRUE,NONE,0.94648829431438131,OUTCOME_VALID_EXPOSURE_VALID
200110,14010070000,MAIZ AMARILLO DURO,2017/2018,TRUE,<NA>,TRUE,NONE,0.89327485380116955,OUTCOME_VALID_EXPOSURE_VALID
200110,14010070000,MAIZ AMARILLO DURO,2018/2019,TRUE,<NA>,TRUE,NONE,0.67784552845528456,OUTCOME_VALID_EXPOSURE_VALID
200110,14010070000,MAIZ AMARILLO DURO,2019/2020,TRUE,<NA>,TRUE,NONE,0.59894459102902375,OUTCOME_VALID_EXPOSURE_VALID
200110,14010070000,MAIZ AMARILLO DURO,2020/2021,TRUE,<NA>,TRUE,NONE,0.74599156118143461,OUTCOME_VALID_EXPOSURE_VALID
200110,14010070000,MAIZ AMARILLO DURO,2021/2022,TRUE,<NA>,TRUE,NONE,0.58944723618090455,OUTCOME_VALID_EXPOSURE_VALID
200110,14010070000,MAIZ AMARILLO DURO,2022/2023,TRUE,<NA>,TRUE,NONE,0.47161716171617163,OUTCOME_VALID_EXPOSURE_VALID
200111,14010020000,ARROZ,2016/2017,TRUE,<NA>,TRUE,NONE,0.8666666666666667,OUTCOME_VALID_EXPOSURE_VALID
200111,14010020000,ARROZ,2017/2018,TRUE,<NA>,TRUE,NONE,0.96363636363636362,OUTCOME_VALID_EXPOSURE_VALID
200111,14010020000,ARROZ,2018/2019,TRUE,<NA>,TRUE,NONE,1,OUTCOME_VALID_EXPOSURE_VALID
200111,14010020000,ARROZ,2019/2020,TRUE,<NA>,TRUE,NONE,1,OUTCOME_VALID_EXPOSURE_VALID
200111,14010020000,ARROZ,2020/2021,TRUE,<NA>,TRUE,NONE,1,OUTCOME_VALID_EXPOSURE_VALID
200111,14010020000,ARROZ,2021/2022,TRUE,<NA>,TRUE,NONE,1,OUTCOME_VALID_EXPOSURE_VALID
200111,14010020000,ARROZ,2022/2023,TRUE,<NA>,TRUE,NONE,1,OUTCOME_VALID_EXPOSURE_VALID
200111,14010070000,MAIZ AMARILLO DURO,2016/2017,TRUE,<NA>,TRUE,NONE,0.82178217821782173,OUTCOME_VALID_EXPOSURE_VALID
200111,14010070000,MAIZ AMARILLO DURO,2017/2018,TRUE,<NA>,TRUE,NONE,0.59581320450885666,OUTCOME_VALID_EXPOSURE_VALID
200111,14010070000,MAIZ AMARILLO DURO,2018/2019,TRUE,<NA>,TRUE,NONE,0.66831874733396757,OUTCOME_VALID_EXPOSURE_VALID
200111,14010070000,MAIZ AMARILLO DURO,2019/2020,TRUE,<NA>,TRUE,NONE,1,OUTCOME_VALID_EXPOSURE_VALID
200111,14010070000,MAIZ AMARILLO DURO,2020/2021,TRUE,<NA>,TRUE,NONE,0.73913043478260865,OUTCOME_VALID_EXPOSURE_VALID
200111,14010070000,MAIZ AMARILLO DURO,2021/2022,TRUE,<NA>,TRUE,NONE,0.57894736842105265,OUTCOME_VALID_EXPOSURE_VALID
200111,14010070000,MAIZ AMARILLO DURO,2022/2023,TRUE,<NA>,TRUE,NONE,0.46050096339113678,OUTCOME_VALID_EXPOSURE_VALID
200114,14010020000,ARROZ,2016/2017,TRUE,<NA>,TRUE,NONE,0.59956709956709953,OUTCOME_VALID_EXPOSURE_VALID
200114,14010020000,ARROZ,2017/2018,TRUE,<NA>,TRUE,NONE,0.71248423707440101,OUTCOME_VALID_EXPOSURE_VALID
200114,14010020000,ARROZ,2018/2019,TRUE,<NA>,TRUE,NONE,0.60869565217391308,OUTCOME_VALID_EXPOSURE_VALID
200114,14010020000,ARROZ,2019/2020,TRUE,<NA>,TRUE,NONE,0.96367159118430612,OUTCOME_VALID_EXPOSURE_VALID
200114,14010020000,ARROZ,2020/2021,TRUE,<NA>,TRUE,NONE,0.93324204039712422,OUTCOME_VALID_EXPOSURE_VALID
200114,14010020000,ARROZ,2021/2022,TRUE,<NA>,TRUE,NONE,0.95045417010734934,OUTCOME_VALID_EXPOSURE_VALID
200114,14010020000,ARROZ,2022/2023,TRUE,<NA>,TRUE,NONE,0.98481561822125818,OUTCOME_VALID_EXPOSURE_VALID
200114,14010070000,MAIZ AMARILLO DURO,2016/2017,TRUE,<NA>,TRUE,NONE,0.85094850948509482,OUTCOME_VALID_EXPOSURE_VALID
200114,14010070000,MAIZ AMARILLO DURO,2017/2018,TRUE,<NA>,TRUE,NONE,0.78431372549019607,OUTCOME_VALID_EXPOSURE_VALID
200114,14010070000,MAIZ AMARILLO DURO,2018/2019,TRUE,<NA>,TRUE,NONE,0.81669691470054451,OUTCOME_VALID_EXPOSURE_VALID
200114,14010070000,MAIZ AMARILLO DURO,2019/2020,TRUE,<NA>,TRUE,NONE,0.63571428571428568,OUTCOME_VALID_EXPOSURE_VALID
200114,14010070000,MAIZ AMARILLO DURO,2020/2021,TRUE,<NA>,TRUE,NONE,0.47256637168141591,OUTCOME_VALID_EXPOSURE_VALID
200114,14010070000,MAIZ AMARILLO DURO,2021/2022,TRUE,<NA>,TRUE,NONE,0.26860254083484575,OUTCOME_VALID_EXPOSURE_VALID
200114,14010070000,MAIZ AMARILLO DURO,2022/2023,TRUE,<NA>,TRUE,NONE,0.53731343283582089,OUTCOME_VALID_EXPOSURE_VALID
200201,14010020000,ARROZ,2016/2017,TRUE,<NA>,TRUE,NONE,1,OUTCOME_VALID_EXPOSURE_VALID
200201,14010020000,ARROZ,2017/2018,TRUE,<NA>,TRUE,NONE,1,OUTCOME_VALID_EXPOSURE_VALID
200201,14010020000,ARROZ,2018/2019,TRUE,<NA>,TRUE,NONE,1,OUTCOME_VALID_EXPOSURE_VALID
200201,14010020000,ARROZ,2019/2020,TRUE,<NA>,TRUE,NONE,1,OUTCOME_VALID_EXPOSURE_VALID
200201,14010020000,ARROZ,2020/2021,TRUE,<NA>,TRUE,NONE,1,OUTCOME_VALID_EXPOSURE_VALID
200201,14010020000,ARROZ,2021/2022,TRUE,<NA>,TRUE,NONE,1,OUTCOME_VALID_EXPOSURE_VALID
200201,14010020000,ARROZ,2022/2023,TRUE,<NA>,TRUE,NONE,1,OUTCOME_VALID_EXPOSURE_VALID
200201,14010070000,MAIZ AMARILLO DURO,2016/2017,TRUE,<NA>,TRUE,NONE,0.31241997439180536,OUTCOME_VALID_EXPOSURE_VALID
200201,14010070000,MAIZ AMARILLO DURO,2017/2018,TRUE,<NA>,TRUE,NONE,0.24050632911392406,OUTCOME_VALID_EXPOSURE_VALID
