year,month,DATE,ICEN
2019,10,2019-10-01,-0.53
2019,11,2019-11-01,-0.3
2019,12,2019-12-01,-0.18
2020,1,2020-01-01,-0.14
2020,2,2020-02-01,-0.14
2020,3,2020-03-01,0.07
2020,4,2020-04-01,0.02
2020,5,2020-05-01,-0.2
2020,6,2020-06-01,-0.72
2020,7,2020-07-01,-1.02
2020,8,2020-08-01,-1.19
2020,9,2020-09-01,-1.02
2020,10,2020-10-01,-0.91
2020,11,2020-11-01,-0.76
2020,12,2020-12-01,-0.79
2021,1,2021-01-01,-0.84
2021,2,2021-02-01,-0.83
2021,3,2021-03-01,-0.86
2021,4,2021-04-01,-0.83
2021,5,2021-05-01,-0.7
2021,6,2021-06-01,-0.46
2021,7,2021-07-01,-0.3
2021,8,2021-08-01,-0.41
2021,9,2021-09-01,-0.62
2021,10,2021-10-01,-0.9
2021,11,2021-11-01,-1.23
2021,12,2021-12-01,-1.31
2022,1,2022-01-01,-1.46
2022,2,2022-02-01,-1.14
2022,3,2022-03-01,-1.24
2022,4,2022-04-01,-1.26
2022,5,2022-05-01,-1.51
2022,6,2022-06-01,-1.44
2022,7,2022-07-01,-1.09
2022,8,2022-08-01,-0.93
2022,9,2022-09-01,-1.12
2022,10,2022-10-01,-1.3
2022,11,2022-11-01,-1.1
2022,12,2022-12-01,-0.7
2023,1,2023-01-01,-0.17
2023,2,2023-02-01,0.47
2023,3,2023-03-01,1.53
2023,4,2023-04-01,2.11
2023,5,2023-05-01,2.45
2023,6,2023-06-01,2.57
2023,7,2023-07-01,2.92
2023,8,2023-08-01,2.9
2023,9,2023-09-01,2.68
2023,10,2023-10-01,2.28
2023,11,2023-11-01,2.01
2023,12,2023-12-01,1.67
2024,1,2024-01-01,1.34
2024,2,2024-02-01,0.88
2024,3,2024-03-01,0.38
2024,4,2024-04-01,-0.38
2024,5,2024-05-01,-0.78
2024,6,2024-06-01,-0.97
2024,7,2024-07-01,-0.72
2024,8,2024-08-01,-0.65
2024,9,2024-09-01,-0.5
2024,10,2024-10-01,-0.34
2024,11,2024-11-01,-0.1
2024,12,2024-12-01,-0.11
2025,1,2025-01-01,0.0
2025,2,2025-02-01,0.45
2025,3,2025-03-01,0.72
2025,4,2025-04-01,0.46
2025,5,2025-05-01,0.18
2025,6,2025-06-01,0.11
2025,7,2025-07-01,0.17
2025,8,2025-08-01,-0.01
2025,9,2025-09-01,-0.22
2025,10,2025-10-01,-0.42
2025,11,2025-11-01,-0.5
2025,12,2025-12-01,-0.51
2026,1,2026-01-01,-0.06
2026,2,2026-02-01,0.42
2026,3,2026-03-01,0.96
2026,4,2026-04-01,1.34
2026,5,2026-05-01,1.98
