year,month,DATE,ICEN
1956,10,1956-10-01,-0.54
1956,11,1956-11-01,-0.64
1956,12,1956-12-01,-0.83
1957,1,1957-01-01,-0.51
1957,2,1957-02-01,0.21
1957,3,1957-03-01,1.18
1957,4,1957-04-01,2.05
1957,5,1957-05-01,2.53
1957,6,1957-06-01,2.81
1957,7,1957-07-01,2.38
1957,8,1957-08-01,1.92
1957,9,1957-09-01,1.47
1957,10,1957-10-01,1.25
1957,11,1957-11-01,1.16
1957,12,1957-12-01,0.97
1958,1,1958-01-01,0.82
1958,2,1958-02-01,0.77
1958,3,1958-03-01,1.01
1958,4,1958-04-01,1.05
1958,5,1958-05-01,0.95
1958,6,1958-06-01,0.77
1958,7,1958-07-01,0.56
1958,8,1958-08-01,0.35
1958,9,1958-09-01,0.22
1958,10,1958-10-01,0.22
1958,11,1958-11-01,0.19
1958,12,1958-12-01,-0.07
1959,1,1959-01-01,-0.15
1959,2,1959-02-01,0.15
1959,3,1959-03-01,0.52
1959,4,1959-04-01,0.64
1959,5,1959-05-01,0.38
1959,6,1959-06-01,0.19
1959,7,1959-07-01,-0.05
1959,8,1959-08-01,-0.13
1959,9,1959-09-01,-0.09
1959,10,1959-10-01,0.28
1959,11,1959-11-01,0.41
1959,12,1959-12-01,0.36
1960,1,1960-01-01,0.14
1960,2,1960-02-01,0.15
1960,3,1960-03-01,-0.07
1960,4,1960-04-01,-0.2
1960,5,1960-05-01,-0.52
1960,6,1960-06-01,-0.55
1960,7,1960-07-01,-0.56
1960,8,1960-08-01,-0.27
1960,9,1960-09-01,-0.18
1960,10,1960-10-01,-0.05
1960,11,1960-11-01,-0.05
1960,12,1960-12-01,0.25
1961,1,1961-01-01,0.59
1961,2,1961-02-01,0.49
1961,3,1961-03-01,0.25
1961,4,1961-04-01,-0.14
1961,5,1961-05-01,-0.16
1961,6,1961-06-01,-0.38
1961,7,1961-07-01,-0.5
1961,8,1961-08-01,-0.61
1961,9,1961-09-01,-0.46
1961,10,1961-10-01,-0.29
1961,11,1961-11-01,-0.2
1961,12,1961-12-01,-0.12
1962,1,1962-01-01,-0.17
1962,2,1962-02-01,-0.6
1962,3,1962-03-01,-1.14
1962,4,1962-04-01,-1.34
1962,5,1962-05-01,-1.01
1962,6,1962-06-01,-0.63
1962,7,1962-07-01,-0.43
1962,8,1962-08-01,-0.28
1962,9,1962-09-01,-0.24
1962,10,1962-10-01,-0.27
1962,11,1962-11-01,-0.38
1962,12,1962-12-01,-0.3
1963,1,1963-01-01,-0.31
1963,2,1963-02-01,-0.21
1963,3,1963-03-01,-0.33
1963,4,1963-04-01,-0.18
1963,5,1963-05-01,-0.15
