UBIGEO,COD_CULTIVO,CROP_STD,CULTIVO_SOURCE,ANO,PRODUCCION,HARVEST_AREA,SOWN_AREA,PRECIO,VERDE_ACTUAL,YIELD_RAW,YIELD_UNIT,AREA_HA,MONTHS_PRESENT
200107,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2020,404.0,27.0,0.0,1.2642326732673268,27.0,14.962962962962964,UNRESOLVED,6088.7068606422545,12
200107,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2021,504.0,27.0,0.0,1.0703968253968255,27.0,18.666666666666668,UNRESOLVED,6088.7068606422545,12
200107,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2022,401.0,27.0,12.0,1.129077306733167,39.0,14.851851851851851,UNRESOLVED,6088.7068606422545,12
200107,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2023,328.0,23.0,0.0,1.2297865853658536,23.0,14.26086956521739,UNRESOLVED,6088.7068606422545,12
200111,13010170102,LIMON SUTIL,LIMON SUTIL,2016,733.0,141.0,0.0,0.6184174624829467,141.0,5.198581560283688,UNRESOLVED,13279.723298316321,12
200111,13010170102,LIMON SUTIL,LIMON SUTIL,2017,264.0,141.0,0.0,0.8848484848484848,141.0,1.872340425531915,UNRESOLVED,13279.723298316321,12
200111,13010170102,LIMON SUTIL,LIMON SUTIL,2018,582.0,141.0,0.0,0.5934707903780069,141.0,4.127659574468085,UNRESOLVED,13279.723298316321,12
200111,13010170102,LIMON SUTIL,LIMON SUTIL,2019,1353.0,141.0,0.0,0.844331116038433,141.0,9.595744680851064,UNRESOLVED,13279.723298316321,12
200111,13010170102,LIMON SUTIL,LIMON SUTIL,2020,2330.0,141.0,0.0,0.8597424892703863,141.0,16.52482269503546,UNRESOLVED,13279.723298316321,12
200111,13010170102,LIMON SUTIL,LIMON SUTIL,2021,1208.0,141.0,67.0,0.9695612582781458,208.0,8.567375886524824,UNRESOLVED,13279.723298316321,12
200111,13010170102,LIMON SUTIL,LIMON SUTIL,2022,1510.0,141.0,67.0,1.374682119205298,208.0,10.709219858156029,UNRESOLVED,13279.723298316321,12
200111,13010170102,LIMON SUTIL,LIMON SUTIL,2023,1139.0,141.0,18.0,1.3969973661106234,225.0,8.078014184397164,UNRESOLVED,13279.723298316321,12
200111,13010210000,MANGO,MANGO,2016,12299.0,792.0,0.0,0.4704935360598423,792.0,15.529040404040405,UNRESOLVED,13279.723298316321,12
200111,13010210000,MANGO,MANGO,2017,14710.0,792.0,0.0,0.5564242012236573,792.0,18.57323232323232,UNRESOLVED,13279.723298316321,12
200111,13010210000,MANGO,MANGO,2018,23100.0,792.0,2108.0,0.5246753246753246,2900.0,29.166666666666668,UNRESOLVED,13279.723298316321,12
200111,13010210000,MANGO,MANGO,2019,32092.0,2900.0,0.0,1.144833603390253,2900.0,11.066206896551725,UNRESOLVED,13279.723298316321,12
200111,13010210000,MANGO,MANGO,2020,15643.0,2900.0,0.0,2.276149076264144,2900.0,5.394137931034483,UNRESOLVED,13279.723298316321,12
200111,13010210000,MANGO,MANGO,2021,15955.0,2900.0,5.0,1.0425446568473835,2905.0,5.501724137931035,UNRESOLVED,13279.723298316321,12
200111,13010210000,MANGO,MANGO,2022,41120.0,2900.0,0.0,0.7852140077821012,2905.0,14.179310344827586,UNRESOLVED,13279.723298316321,12
200111,13010210000,MANGO,MANGO,2023,16200.0,2900.0,33.0,0.875,2938.0,5.586206896551724,UNRESOLVED,13279.723298316321,12
200111,14010020000,ARROZ,ARROZ,2016,28450.0,3640.0,4400.0,1.2680309314586993,360.0,7.815934065934066,UNRESOLVED,13279.723298316321,11
200111,14010020000,ARROZ,ARROZ,2017,35736.0,5278.0,5400.0,1.1058378106111484,480.0,6.770746494884426,UNRESOLVED,13279.723298316321,12
200111,14010020000,ARROZ,ARROZ,2018,34035.0,3900.0,3550.0,0.9828079917731748,130.0,8.726923076923077,UNRESOLVED,13279.723298316321,12
200111,14010020000,ARROZ,ARROZ,2019,38107.0,4185.0,4055.0,0.9325289316923401,0.0,9.105615292712066,UNRESOLVED,13279.723298316321,12
200111,14010020000,ARROZ,ARROZ,2020,25088.0,3136.0,3702.0,1.2,566.0,8.0,UNRESOLVED,13279.723298316321,11
200111,14010020000,ARROZ,ARROZ,2021,19116.0,2124.0,2124.0,1.2646610169491526,566.0,9.0,UNRESOLVED,13279.723298316321,12
200111,14010020000,ARROZ,ARROZ,2022,19790.0,2120.0,2120.0,1.3068165740272866,0.0,9.334905660377359,UNRESOLVED,13279.723298316321,11
200111,14010020000,ARROZ,ARROZ,2023,19285.0,2235.0,2260.0,1.3448794399792585,0.0,8.628635346756152,UNRESOLVED,13279.723298316321,11
200111,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2016,2455.0,860.0,910.0,1.1158859470468432,257.0,2.854651162790698,UNRESOLVED,13279.723298316321,10
200111,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2017,2530.0,870.0,840.0,0.9529644268774704,227.0,2.9080459770114944,UNRESOLVED,13279.723298316321,12
200111,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2018,1900.0,640.0,1212.007,1.0230000000000001,622.01,2.96875,UNRESOLVED,13279.723298316321,11
200111,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2019,1487.0,453.0,183.0,0.9272360457296571,0.0,3.282560706401766,UNRESOLVED,13279.723298316321,10
200111,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2020,238.0,75.0,85.0,1.1890756302521008,10.0,3.1733333333333333,UNRESOLVED,13279.723298316321,6
200111,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2021,1887.0,370.0,360.0,1.4869634340222575,0.0,5.1,UNRESOLVED,13279.723298316321,12
200111,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2022,2260.0,430.0,430.0,1.41,0.0,5.255813953488372,UNRESOLVED,13279.723298316321,12
200111,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2023,934.0,278.0,289.0,1.5339079229122057,0.0,3.3597122302158273,UNRESOLVED,13279.723298316321,12
200111,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2016,567.0,38.0,0.0,0.8904761904761904,38.0,14.921052631578947,UNRESOLVED,13279.723298316321,12
200111,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2017,338.0,38.0,0.0,0.9514792899408284,38.0,8.894736842105264,UNRESOLVED,13279.723298316321,12
200111,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2018,1271.0,176.0,138.0,0.8894177812745869,176.0,7.221590909090909,UNRESOLVED,13279.723298316321,12
200111,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2019,3317.0,176.0,0.0,0.8205004522158577,176.0,18.84659090909091,UNRESOLVED,13279.723298316321,12
200111,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2020,3296.0,176.0,0.0,0.8327669902912622,176.0,18.727272727272727,UNRESOLVED,13279.723298316321,12
200111,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2021,2669.0,176.0,0.0,0.7704795803671787,176.0,15.164772727272727,UNRESOLVED,13279.723298316321,12
200111,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2022,2823.0,100.0,0.0,0.9273609635139922,176.0,28.23,UNRESOLVED,13279.723298316321,12
200111,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2023,2827.0,100.0,0.0,1.246674920410329,100.0,28.27,UNRESOLVED,13279.723298316321,12
200114,13010170102,LIMON SUTIL,LIMON SUTIL,2016,68940.0,5146.0,0.0,0.6344067304902814,9738.0,13.396813058686359,UNRESOLVED,65481.94014926772,12
200114,13010170102,LIMON SUTIL,LIMON SUTIL,2017,18990.0,9738.0,0.0,0.9412322274881516,9738.0,1.9500924214417745,UNRESOLVED,65481.94014926772,12
200114,13010170102,LIMON SUTIL,LIMON SUTIL,2018,50650.0,9738.0,760.0,0.5968410661401777,10498.0,5.2012733620866705,UNRESOLVED,65481.94014926772,12
200114,13010170102,LIMON SUTIL,LIMON SUTIL,2019,75656.0,9738.0,0.0,0.7003410172359099,10498.0,7.769151776545492,UNRESOLVED,65481.94014926772,12
200114,13010170102,LIMON SUTIL,LIMON SUTIL,2020,83801.0,9738.0,0.0,0.8979642247705875,10498.0,8.605565824604641,UNRESOLVED,65481.94014926772,12
200114,13010170102,LIMON SUTIL,LIMON SUTIL,2021,80020.0,9738.0,0.0,1.0323856535866034,10498.0,8.217293078660916,UNRESOLVED,65481.94014926772,12
200114,13010170102,LIMON SUTIL,LIMON SUTIL,2022,109130.0,9738.0,0.0,1.3407811784110695,10498.0,11.20661326761142,UNRESOLVED,65481.94014926772,12
200114,13010170102,LIMON SUTIL,LIMON SUTIL,2023,69765.0,9738.0,152.0,1.4057794022790797,10650.0,7.164202094886013,UNRESOLVED,65481.94014926772,12
200114,13010210000,MANGO,MANGO,2016,203242.0,14440.0,0.0,0.4265269973725903,14440.0,14.074930747922437,UNRESOLVED,65481.94014926772,12
200114,13010210000,MANGO,MANGO,2017,215650.0,14440.0,0.0,0.5147414792487828,14440.0,14.93421052631579,UNRESOLVED,65481.94014926772,12
200114,13010210000,MANGO,MANGO,2018,191180.0,14440.0,6072.0,0.45320640234334136,20512.0,13.239612188365651,UNRESOLVED,65481.94014926772,12
200114,13010210000,MANGO,MANGO,2019,326762.0,14440.0,0.0,0.9960192739669852,20512.0,22.628947368421052,UNRESOLVED,65481.94014926772,12
200114,13010210000,MANGO,MANGO,2020,288195.0,14440.0,0.0,2.083089574767085,20512.0,19.958102493074794,UNRESOLVED,65481.94014926772,12
200114,13010210000,MANGO,MANGO,2021,272269.0,14440.0,78.0,1.054001006357683,20590.0,18.855193905817174,UNRESOLVED,65481.94014926772,12
200114,13010210000,MANGO,MANGO,2022,273632.0,14440.0,1.0,0.8360754590106421,20591.0,18.949584487534626,UNRESOLVED,65481.94014926772,12
200114,13010210000,MANGO,MANGO,2023,154479.0,20512.0,459.0,0.9409324244719346,21050.0,7.531152496099844,UNRESOLVED,65481.94014926772,12
200114,14010020000,ARROZ,ARROZ,2016,48661.0,6270.0,6940.0,1.2654096709890876,290.0,7.760925039872408,UNRESOLVED,65481.94014926772,11
200114,14010020000,ARROZ,ARROZ,2017,43440.0,6280.0,6650.0,1.1017866022099447,660.0,6.917197452229299,UNRESOLVED,65481.94014926772,12
200114,14010020000,ARROZ,ARROZ,2018,39636.0,4540.0,3970.0,0.986471137349884,90.0,8.730396475770926,UNRESOLVED,65481.94014926772,12
200114,14010020000,ARROZ,ARROZ,2019,40158.0,4475.0,4385.0,0.9702213755665123,0.0,8.973854748603351,UNRESOLVED,65481.94014926772,12
200114,14010020000,ARROZ,ARROZ,2020,21768.0,2722.0,3430.0,1.1911797133406834,708.0,7.997060984570169,UNRESOLVED,65481.94014926772,11
200114,14010020000,ARROZ,ARROZ,2021,48870.0,5618.0,4910.0,1.2674843462246776,0.0,8.698825204699181,UNRESOLVED,65481.94014926772,12
200114,14010020000,ARROZ,ARROZ,2022,43025.0,4610.0,4610.0,1.31,0.0,9.332971800433839,UNRESOLVED,65481.94014926772,10
200114,14010020000,ARROZ,ARROZ,2023,42648.0,5133.0,5133.0,1.379490011254924,0.0,8.308591466978376,UNRESOLVED,65481.94014926772,11
200114,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2016,1800.0,650.0,678.0,1.1133333333333333,72.0,2.769230769230769,UNRESOLVED,65481.94014926772,10
200114,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2017,1308.0,458.0,460.0,0.960091743119266,60.0,2.8558951965065504,UNRESOLVED,65481.94014926772,12
200114,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2018,1512.0,510.0,500.0,1.0279761904761906,50.0,2.9647058823529413,UNRESOLVED,65481.94014926772,10
200114,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2019,447.0,139.0,140.0,0.9201342281879195,51.0,3.2158273381294964,UNRESOLVED,65481.94014926772,10
200114,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2020,90.0,30.0,30.0,1.0,51.0,3.0,UNRESOLVED,65481.94014926772,12
200114,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2021,2841.0,683.0,683.0,1.143005983808518,51.0,4.159590043923865,UNRESOLVED,65481.94014926772,12
200114,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2022,1460.0,275.0,275.0,1.41,51.0,5.3090909090909095,UNRESOLVED,65481.94014926772,12
200114,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2023,448.0,136.0,140.0,1.5279687499999999,0.0,3.2941176470588234,UNRESOLVED,65481.94014926772,12
200114,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2016,4961.0,246.0,0.0,0.8268494255190486,246.0,20.166666666666668,UNRESOLVED,65481.94014926772,12
200114,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2017,2466.0,246.0,0.0,0.9510137875101378,246.0,10.024390243902438,UNRESOLVED,65481.94014926772,12
200114,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2018,4811.0,346.0,100.0,0.8909686135938474,346.0,13.904624277456648,UNRESOLVED,65481.94014926772,12
200114,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2019,9422.0,600.0,254.0,0.8483973678624496,600.0,15.703333333333333,UNRESOLVED,65481.94014926772,12
200114,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2020,9502.0,600.0,0.0,0.8795621974321196,600.0,15.836666666666666,UNRESOLVED,65481.94014926772,12
