dataset_version,filename,path,size_bytes,sha256_actual,sha256_expected,hash_status,source_mtime_utc,processed_at_utc
DATASET_MASTER_v1,Formato_dataset_productos_dra__ (2).csv,data\raw\Formato_dataset_productos_dra__ (2).csv,12578609,7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489,7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489,PASS,2026-08-12T01:09:23+00:00,2026-08-12T04:44:40+00:00
DATASET_MASTER_v1,Formato_DiccionarioDatos_productos_dra_.xlsx,data\raw\Formato_DiccionarioDatos_productos_dra_.xlsx,76211,9df8aedf987a7a882d265ffc629d105f8058a5208738d5dcd1b213b30d347ce0,9df8aedf987a7a882d265ffc629d105f8058a5208738d5dcd1b213b30d347ce0,PASS,2026-08-12T02:10:34+00:00,2026-08-12T04:44:40+00:00
DATASET_MASTER_v1,Formato_Metadatos_productos_dra_.docx,data\raw\Formato_Metadatos_productos_dra_.docx,16701,a66ede624b8d2f502df65620c84233dd04a9ebcc29ae9969c38e2272ec812ea7,a66ede624b8d2f502df65620c84233dd04a9ebcc29ae9969c38e2272ec812ea7,PASS,2026-08-12T02:10:42+00:00,2026-08-12T04:44:40+00:00
DATASET_MASTER_v1,superficie_agricola_nacional_2024.xlsx,data\raw\superficie_agricola_nacional_2024.xlsx,139347,36f9f5d41489df4c4e19b8108c339088dd6ee2f240669d47683163077e1d9b7c,NOT_PROVIDED,RECORDED_NO_EXPECTED_HASH,2026-08-12T01:15:41+00:00,2026-08-12T04:44:40+00:00
DATASET_MASTER_v1,ICEN.txt,data\raw\ICEN.txt,16722,53e82d90ad26335b081ddebf67f9293477cf6f80e3d7d9de17ddfe33fab8c03f,NOT_PROVIDED,RECORDED_NO_EXPECTED_HASH,2026-08-12T01:19:29+00:00,2026-08-12T04:44:40+00:00
