COD_CULTIVO,CROP_STD,N_OBS,N_DISTRICTS,N_YEARS,FIRST_YEAR,LAST_YEAR
14010020000,ARROZ,340,46,8,2016,2023
13010210000,MANGO,255,36,8,2016,2023
13010170102,LIMON SUTIL,311,44,8,2016,2023
15010040000,PLATANOS Y BANANAS,390,54,8,2016,2023
14010070000,MAIZ AMARILLO DURO,405,55,8,2016,2023
