variable,missing_nan,zero,positive,negative,total
SIEMBRA,0,112711,11803,0,124514
COSECHA,8179,101942,14393,0,124514
PRODUCCION,0,85870,38644,0,124514
VERDE_ACTUAL,2,3591,120921,0,124514
PRECIO_CHACRA,0,85870,38644,0,124514
