UBIGEO,COD_CULTIVO,CROP_STD,ANO,VARIABLE,VALUE,Z_SCORE,THRESHOLD_ABS_Z,ACTION
200114,13010210000,MANGO,2017,HARVEST_AREA,14440.0,5.064759922462707,3.0,RETAIN_FOR_REVIEW
200114,13010210000,MANGO,2018,HARVEST_AREA,14440.0,5.064759922462707,3.0,RETAIN_FOR_REVIEW
200114,13010210000,MANGO,2019,HARVEST_AREA,14440.0,5.064759922462707,3.0,RETAIN_FOR_REVIEW
200114,13010210000,MANGO,2020,HARVEST_AREA,14440.0,5.064759922462707,3.0,RETAIN_FOR_REVIEW
200114,13010210000,MANGO,2021,HARVEST_AREA,14440.0,5.064759922462707,3.0,RETAIN_FOR_REVIEW
200114,13010210000,MANGO,2022,HARVEST_AREA,14440.0,5.064759922462707,3.0,RETAIN_FOR_REVIEW
200114,13010210000,MANGO,2023,HARVEST_AREA,20512.0,7.301782818945676,3.0,RETAIN_FOR_REVIEW
200111,13010210000,MANGO,2018,SOWN_AREA,2108.0,5.123465137706202,3.0,RETAIN_FOR_REVIEW
200114,13010210000,MANGO,2018,SOWN_AREA,6072.0,14.939016859386086,3.0,RETAIN_FOR_REVIEW
200210,13010210000,MANGO,2023,PRECIO,3.0,4.0987495277255475,3.0,RETAIN_FOR_REVIEW
200404,13010210000,MANGO,2023,PRECIO,2.9156104069379585,3.925617637960025,3.0,RETAIN_FOR_REVIEW
200601,13010210000,MANGO,2020,PRECIO,2.8970588235294117,3.887557604997156,3.0,RETAIN_FOR_REVIEW
200803,13010210000,MANGO,2020,PRECIO,3.0,4.0987495277255475,3.0,RETAIN_FOR_REVIEW
200114,13010210000,MANGO,2016,VERDE_ACTUAL,14440.0,4.013839087602987,3.0,RETAIN_FOR_REVIEW
200114,13010210000,MANGO,2017,VERDE_ACTUAL,14440.0,4.013839087602987,3.0,RETAIN_FOR_REVIEW
200114,13010210000,MANGO,2018,VERDE_ACTUAL,20512.0,5.804696469703128,3.0,RETAIN_FOR_REVIEW
200114,13010210000,MANGO,2019,VERDE_ACTUAL,20512.0,5.804696469703128,3.0,RETAIN_FOR_REVIEW
200114,13010210000,MANGO,2020,VERDE_ACTUAL,20512.0,5.804696469703128,3.0,RETAIN_FOR_REVIEW
200114,13010210000,MANGO,2021,VERDE_ACTUAL,20590.0,5.827701554651054,3.0,RETAIN_FOR_REVIEW
200114,13010210000,MANGO,2022,VERDE_ACTUAL,20591.0,5.827996491637566,3.0,RETAIN_FOR_REVIEW
200114,13010210000,MANGO,2023,VERDE_ACTUAL,21050.0,5.96337256844652,3.0,RETAIN_FOR_REVIEW
200603,14010020000,ARROZ,2016,PRODUCCION,89512.0,4.586239615029406,3.0,RETAIN_FOR_REVIEW
200603,14010020000,ARROZ,2018,PRODUCCION,80865.0,4.080452186060401,3.0,RETAIN_FOR_REVIEW
200603,14010020000,ARROZ,2020,PRODUCCION,72000.0,3.5619133219676256,3.0,RETAIN_FOR_REVIEW
200603,14010020000,ARROZ,2021,PRODUCCION,128444.0,6.8634821482341355,3.0,RETAIN_FOR_REVIEW
200603,14010020000,ARROZ,2022,PRODUCCION,67100.0,3.2752984957911337,3.0,RETAIN_FOR_REVIEW
200603,14010020000,ARROZ,2023,PRODUCCION,126804.0,6.767553920697514,3.0,RETAIN_FOR_REVIEW
200605,14010020000,ARROZ,2016,PRODUCCION,63430.0,3.0606298402671084,3.0,RETAIN_FOR_REVIEW
200605,14010020000,ARROZ,2021,PRODUCCION,64598.0,3.128949455976117,3.0,RETAIN_FOR_REVIEW
200603,14010020000,ARROZ,2016,HARVEST_AREA,9489.0,4.445915914061291,3.0,RETAIN_FOR_REVIEW
200603,14010020000,ARROZ,2018,HARVEST_AREA,8985.0,4.1727547757860535,3.0,RETAIN_FOR_REVIEW
200603,14010020000,ARROZ,2020,HARVEST_AREA,7700.0,3.47630227046129,3.0,RETAIN_FOR_REVIEW
200603,14010020000,ARROZ,2021,HARVEST_AREA,12918.0,6.304387229826751,3.0,RETAIN_FOR_REVIEW
200603,14010020000,ARROZ,2023,HARVEST_AREA,12563.0,6.1119820629860575,3.0,RETAIN_FOR_REVIEW
200114,14010020000,ARROZ,2016,SOWN_AREA,6940.0,3.215710591186307,3.0,RETAIN_FOR_REVIEW
200114,14010020000,ARROZ,2017,SOWN_AREA,6650.0,3.0509226876785083,3.0,RETAIN_FOR_REVIEW
200603,14010020000,ARROZ,2016,SOWN_AREA,7170.0,3.3464044456924924,3.0,RETAIN_FOR_REVIEW
200603,14010020000,ARROZ,2018,SOWN_AREA,8485.0,4.093632352977856,3.0,RETAIN_FOR_REVIEW
200603,14010020000,ARROZ,2019,SOWN_AREA,9100.0,4.443096355244395,3.0,RETAIN_FOR_REVIEW
200603,14010020000,ARROZ,2020,SOWN_AREA,9000.0,4.386272940241707,3.0,RETAIN_FOR_REVIEW
200603,14010020000,ARROZ,2021,SOWN_AREA,9100.0,4.443096355244395,3.0,RETAIN_FOR_REVIEW
200603,14010020000,ARROZ,2022,SOWN_AREA,9500.0,4.670390015255153,3.0,RETAIN_FOR_REVIEW
200603,14010020000,ARROZ,2023,SOWN_AREA,9400.0,4.613566600252463,3.0,RETAIN_FOR_REVIEW
200101,14010020000,ARROZ,2022,PRECIO,2.61,5.2606839646646275,3.0,RETAIN_FOR_REVIEW
200205,14010020000,ARROZ,2023,PRECIO,2.25,3.841815266575462,3.0,RETAIN_FOR_REVIEW
200408,14010020000,ARROZ,2022,PRECIO,2.51,4.86655377075097,3.0,RETAIN_FOR_REVIEW
200408,14010020000,ARROZ,2023,PRECIO,2.278888888888889,3.9556751003727415,3.0,RETAIN_FOR_REVIEW
200105,14010020000,ARROZ,2017,VERDE_ACTUAL,1617.0,3.3538527087337395,3.0,RETAIN_FOR_REVIEW
200105,14010020000,ARROZ,2020,VERDE_ACTUAL,1692.0,3.5271317237080897,3.0,RETAIN_FOR_REVIEW
200603,14010020000,ARROZ,2019,VERDE_ACTUAL,2600.0,5.624962998330889,3.0,RETAIN_FOR_REVIEW
200603,14010020000,ARROZ,2020,VERDE_ACTUAL,3900.0,8.628465924552959,3.0,RETAIN_FOR_REVIEW
200603,14010020000,ARROZ,2022,VERDE_ACTUAL,3400.0,7.473272491390625,3.0,RETAIN_FOR_REVIEW
200605,14010020000,ARROZ,2019,VERDE_ACTUAL,1950.0,4.123211535219855,3.0,RETAIN_FOR_REVIEW
200605,14010020000,ARROZ,2020,VERDE_ACTUAL,1900.0,4.007692191903621,3.0,RETAIN_FOR_REVIEW
200605,14010020000,ARROZ,2022,VERDE_ACTUAL,1592.0,3.2960930370756225,3.0,RETAIN_FOR_REVIEW
200605,14010020000,ARROZ,2023,VERDE_ACTUAL,2592.0,5.606479903400292,3.0,RETAIN_FOR_REVIEW
200601,14010070000,MAIZ AMARILLO DURO,2020,YIELD_RAW,9.314285714285715,3.0899386853605386,3.0,RETAIN_FOR_REVIEW
