COD_CULTIVO,crop,districts,years,district_years,min_years_per_district,median_years_per_district,max_years_per_district,share_districts_ge_3_years,share_districts_all_8_years
14010020000,ARROZ,46,8,340,1,8.0,8,0.9347826086956522,0.8260869565217391
13010210000,MANGO,36,8,255,1,8.0,8,0.9722222222222222,0.6944444444444444
13010170102,LIMON SUTIL,44,8,311,1,8.0,8,0.8863636363636364,0.7727272727272727
15010040000,PLATANOS Y BANANAS,54,8,390,1,8.0,8,0.9074074074074074,0.8333333333333334
14010070000,MAIZ AMARILLO DURO,55,8,405,2,8.0,8,0.9636363636363636,0.7818181818181819
