CROP_CODE,CROP,TEST_ID,TEST_KIND,CLUSTER_COUNT,SEED,B,BATCH_SIZE,BATCH_PARTITION,RNG,WEIGHTS,SEED_RESET,FULL_DRAW_MATRIX_SHA256,INITIAL_RNG_STATE_SHA256,FINAL_RNG_STATE_SHA256,BOOTSTRAP_STATISTIC_SHA256,EXCEEDANCE_COUNT,INVALID_REPLICATIONS,FINITE_P_NUMERATOR,FINITE_P_DENOMINATOR
13010210000,MANGO,TMIN_ANOM_C,COEFFICIENT,36,20260903,9999,1000,1000+1000+1000+1000+1000+1000+1000+1000+1000+999,NUMPY_GENERATOR_PCG64,RADEMACHER,EACH_CROP_CONTRAST_AND_JOINT_TEST,aa64b88b5d063963020e4f652dc735cf97b4bbfd1e3cfc5d5ce20713ce0decf3,5e93d0e476299e7f12b25a82a810fbaedee7e066a8390f72c423a25ce1828a0e,407c315bdccf18104d288ffb2456db1fb30cc5eb079676211bc73eaf6261b721,cf2d68fb2badff64f5072556e6a492846c1529b1895055b4910cbe0a72f50a4d,4714,0,4715,10000
13010210000,MANGO,ALL_PRIMARY_CLIMATE_COEFFICIENTS,JOINT,36,20260903,9999,1000,1000+1000+1000+1000+1000+1000+1000+1000+1000+999,NUMPY_GENERATOR_PCG64,RADEMACHER,EACH_CROP_CONTRAST_AND_JOINT_TEST,aa64b88b5d063963020e4f652dc735cf97b4bbfd1e3cfc5d5ce20713ce0decf3,5e93d0e476299e7f12b25a82a810fbaedee7e066a8390f72c423a25ce1828a0e,407c315bdccf18104d288ffb2456db1fb30cc5eb079676211bc73eaf6261b721,0560dd1288ced2633a4fd0ae24eea12c30dfaed7c8999741c1c5f7c3302fc81d,7738,0,7739,10000
13010170102,LIMON_SUTIL,RAIN_ANOM_MM__T,COEFFICIENT,44,20260903,9999,1000,1000+1000+1000+1000+1000+1000+1000+1000+1000+999,NUMPY_GENERATOR_PCG64,RADEMACHER,EACH_CROP_CONTRAST_AND_JOINT_TEST,c8ddc648d381923629cf20229c80688d10c36ee363ac7f86ee7e95a8600b7177,5e93d0e476299e7f12b25a82a810fbaedee7e066a8390f72c423a25ce1828a0e,98b8ef916d2bc7c2bfc0eb0363a84ea263d53c4425d1b4410978c7f7b94d4cf8,ed5bf4ae0ebe0a2d9df2a6aa4c03fe2d4a6fe2b95f56aa4f987ca50405622ba8,2703,0,2704,10000
13010170102,LIMON_SUTIL,TMAX_ANOM_C__T,COEFFICIENT,44,20260903,9999,1000,1000+1000+1000+1000+1000+1000+1000+1000+1000+999,NUMPY_GENERATOR_PCG64,RADEMACHER,EACH_CROP_CONTRAST_AND_JOINT_TEST,c8ddc648d381923629cf20229c80688d10c36ee363ac7f86ee7e95a8600b7177,5e93d0e476299e7f12b25a82a810fbaedee7e066a8390f72c423a25ce1828a0e,98b8ef916d2bc7c2bfc0eb0363a84ea263d53c4425d1b4410978c7f7b94d4cf8,05c4de71a17be519b419e5cda62a9b8dadec93586393e1d6774abe7d0a9a43f2,9904,0,9905,10000
13010170102,LIMON_SUTIL,TMIN_ANOM_C__T,COEFFICIENT,44,20260903,9999,1000,1000+1000+1000+1000+1000+1000+1000+1000+1000+999,NUMPY_GENERATOR_PCG64,RADEMACHER,EACH_CROP_CONTRAST_AND_JOINT_TEST,c8ddc648d381923629cf20229c80688d10c36ee363ac7f86ee7e95a8600b7177,5e93d0e476299e7f12b25a82a810fbaedee7e066a8390f72c423a25ce1828a0e,98b8ef916d2bc7c2bfc0eb0363a84ea263d53c4425d1b4410978c7f7b94d4cf8,a1ee44e5c7ed2188dffff3b4c0dd23f54483e2d874ad992f02fbf2ca9cfcf9aa,6737,0,6738,10000
13010170102,LIMON_SUTIL,RAIN_ANOM_MM__T_MINUS_1,COEFFICIENT,44,20260903,9999,1000,1000+1000+1000+1000+1000+1000+1000+1000+1000+999,NUMPY_GENERATOR_PCG64,RADEMACHER,EACH_CROP_CONTRAST_AND_JOINT_TEST,c8ddc648d381923629cf20229c80688d10c36ee363ac7f86ee7e95a8600b7177,5e93d0e476299e7f12b25a82a810fbaedee7e066a8390f72c423a25ce1828a0e,98b8ef916d2bc7c2bfc0eb0363a84ea263d53c4425d1b4410978c7f7b94d4cf8,b74a2e599d28ae86e2cc308bec6181d3d32ad3b6ff1d829a2d0f642dad75533e,9982,0,9983,10000
13010170102,LIMON_SUTIL,TMAX_ANOM_C__T_MINUS_1,COEFFICIENT,44,20260903,9999,1000,1000+1000+1000+1000+1000+1000+1000+1000+1000+999,NUMPY_GENERATOR_PCG64,RADEMACHER,EACH_CROP_CONTRAST_AND_JOINT_TEST,c8ddc648d381923629cf20229c80688d10c36ee363ac7f86ee7e95a8600b7177,5e93d0e476299e7f12b25a82a810fbaedee7e066a8390f72c423a25ce1828a0e,98b8ef916d2bc7c2bfc0eb0363a84ea263d53c4425d1b4410978c7f7b94d4cf8,42451ebd7fe750f2ea5147e960020ac51d88732e0ec66db4162a8b531ca19a3c,5243,0,5244,10000
13010170102,LIMON_SUTIL,TMIN_ANOM_C__T_MINUS_1,COEFFICIENT,44,20260903,9999,1000,1000+1000+1000+1000+1000+1000+1000+1000+1000+999,NUMPY_GENERATOR_PCG64,RADEMACHER,EACH_CROP_CONTRAST_AND_JOINT_TEST,c8ddc648d381923629cf20229c80688d10c36ee363ac7f86ee7e95a8600b7177,5e93d0e476299e7f12b25a82a810fbaedee7e066a8390f72c423a25ce1828a0e,98b8ef916d2bc7c2bfc0eb0363a84ea263d53c4425d1b4410978c7f7b94d4cf8,a79c62972df3ac3de3b631d37791d2848fcb31611c47fe5db5b36621e5897733,212,0,213,10000
13010170102,LIMON_SUTIL,ALL_PRIMARY_CLIMATE_COEFFICIENTS,JOINT,44,20260903,9999,1000,1000+1000+1000+1000+1000+1000+1000+1000+1000+999,NUMPY_GENERATOR_PCG64,RADEMACHER,EACH_CROP_CONTRAST_AND_JOINT_TEST,c8ddc648d381923629cf20229c80688d10c36ee363ac7f86ee7e95a8600b7177,5e93d0e476299e7f12b25a82a810fbaedee7e066a8390f72c423a25ce1828a0e,98b8ef916d2bc7c2bfc0eb0363a84ea263d53c4425d1b4410978c7f7b94d4cf8,4608df6f54101bc42684f9321749440dcb23cfc6c28286d93a4f7a5aad65bbe7,2037,0,2038,10000
15010040000,PLATANOS_Y_BANANAS,RAIN_ANOM_MM__T,COEFFICIENT,54,20260903,9999,1000,1000+1000+1000+1000+1000+1000+1000+1000+1000+999,NUMPY_GENERATOR_PCG64,RADEMACHER,EACH_CROP_CONTRAST_AND_JOINT_TEST,9f65378f43381db7d61db9e012a3692792e1904f2c8104ac8fec294a73568da1,5e93d0e476299e7f12b25a82a810fbaedee7e066a8390f72c423a25ce1828a0e,97ff381318f12d61e23975ce18aa12691ab42ce6014fc77e88bd0d18a4cbc319,213a4a62160665d7fc72e30a4adad93a93b546023036753a0ab2093200097497,3799,0,3800,10000
15010040000,PLATANOS_Y_BANANAS,TMAX_ANOM_C__T,COEFFICIENT,54,20260903,9999,1000,1000+1000+1000+1000+1000+1000+1000+1000+1000+999,NUMPY_GENERATOR_PCG64,RADEMACHER,EACH_CROP_CONTRAST_AND_JOINT_TEST,9f65378f43381db7d61db9e012a3692792e1904f2c8104ac8fec294a73568da1,5e93d0e476299e7f12b25a82a810fbaedee7e066a8390f72c423a25ce1828a0e,97ff381318f12d61e23975ce18aa12691ab42ce6014fc77e88bd0d18a4cbc319,05907aa8cbba1c6c4767cd9bec2b0f511578a65830b24dd2fb641eee576a4546,8397,0,8398,10000
15010040000,PLATANOS_Y_BANANAS,TMIN_ANOM_C__T,COEFFICIENT,54,20260903,9999,1000,1000+1000+1000+1000+1000+1000+1000+1000+1000+999,NUMPY_GENERATOR_PCG64,RADEMACHER,EACH_CROP_CONTRAST_AND_JOINT_TEST,9f65378f43381db7d61db9e012a3692792e1904f2c8104ac8fec294a73568da1,5e93d0e476299e7f12b25a82a810fbaedee7e066a8390f72c423a25ce1828a0e,97ff381318f12d61e23975ce18aa12691ab42ce6014fc77e88bd0d18a4cbc319,ea58d5b5aaf3dc53346c9342ea8a971b4b0cace16b7450634def14c48b80b6d6,9683,0,9684,10000
15010040000,PLATANOS_Y_BANANAS,RAIN_ANOM_MM__T_MINUS_1,COEFFICIENT,54,20260903,9999,1000,1000+1000+1000+1000+1000+1000+1000+1000+1000+999,NUMPY_GENERATOR_PCG64,RADEMACHER,EACH_CROP_CONTRAST_AND_JOINT_TEST,9f65378f43381db7d61db9e012a3692792e1904f2c8104ac8fec294a73568da1,5e93d0e476299e7f12b25a82a810fbaedee7e066a8390f72c423a25ce1828a0e,97ff381318f12d61e23975ce18aa12691ab42ce6014fc77e88bd0d18a4cbc319,e2b13ec7c14731c7db23dfb964bd3f082d30347e76892af3303258ef67af4b8f,3556,0,3557,10000
15010040000,PLATANOS_Y_BANANAS,TMAX_ANOM_C__T_MINUS_1,COEFFICIENT,54,20260903,9999,1000,1000+1000+1000+1000+1000+1000+1000+1000+1000+999,NUMPY_GENERATOR_PCG64,RADEMACHER,EACH_CROP_CONTRAST_AND_JOINT_TEST,9f65378f43381db7d61db9e012a3692792e1904f2c8104ac8fec294a73568da1,5e93d0e476299e7f12b25a82a810fbaedee7e066a8390f72c423a25ce1828a0e,97ff381318f12d61e23975ce18aa12691ab42ce6014fc77e88bd0d18a4cbc319,a6f08215920c64a59036910d1069b45d1b3efda71a384d8f32902e6358d0ec2c,5915,0,5916,10000
15010040000,PLATANOS_Y_BANANAS,TMIN_ANOM_C__T_MINUS_1,COEFFICIENT,54,20260903,9999,1000,1000+1000+1000+1000+1000+1000+1000+1000+1000+999,NUMPY_GENERATOR_PCG64,RADEMACHER,EACH_CROP_CONTRAST_AND_JOINT_TEST,9f65378f43381db7d61db9e012a3692792e1904f2c8104ac8fec294a73568da1,5e93d0e476299e7f12b25a82a810fbaedee7e066a8390f72c423a25ce1828a0e,97ff381318f12d61e23975ce18aa12691ab42ce6014fc77e88bd0d18a4cbc319,b5fb53fc0520ff074439e6a96ee904d65c7586b22654e5761abe067f9f322aa1,7,0,8,10000
15010040000,PLATANOS_Y_BANANAS,ALL_PRIMARY_CLIMATE_COEFFICIENTS,JOINT,54,20260903,9999,1000,1000+1000+1000+1000+1000+1000+1000+1000+1000+999,NUMPY_GENERATOR_PCG64,RADEMACHER,EACH_CROP_CONTRAST_AND_JOINT_TEST,9f65378f43381db7d61db9e012a3692792e1904f2c8104ac8fec294a73568da1,5e93d0e476299e7f12b25a82a810fbaedee7e066a8390f72c423a25ce1828a0e,97ff381318f12d61e23975ce18aa12691ab42ce6014fc77e88bd0d18a4cbc319,089f1434032fedc49e161108f27fce314a75c6f5723da5367ee3ae409be2ff68,175,0,176,10000
