CROP_CODE,CROP,STATUS,N,REGRESSORS,DISTINCT_EVIDENCE_CONTRIBUTION,COLUMN_SPACE_EQUIVALENT_WITHIN_TOLERANCE,TRANSFORMED_X_MAX_ABS_DIFFERENCE,TRANSFORMED_X_NUMERIC_EXACT,TRANSFORMED_X_BYTE_EXACT,TRANSFORMED_X_WITHIN_1E_9,COEFFICIENTS_MAX_ABS_DIFFERENCE,COEFFICIENTS_NUMERIC_EXACT,COEFFICIENTS_BYTE_EXACT,COEFFICIENTS_WITHIN_1E_9,FITTED_VALUES_MAX_ABS_DIFFERENCE,FITTED_VALUES_NUMERIC_EXACT,FITTED_VALUES_BYTE_EXACT,FITTED_VALUES_WITHIN_1E_9,RESIDUALS_MAX_ABS_DIFFERENCE,RESIDUALS_NUMERIC_EXACT,RESIDUALS_BYTE_EXACT,RESIDUALS_WITHIN_1E_9,CR2_COVARIANCE_MAX_ABS_DIFFERENCE,CR2_COVARIANCE_NUMERIC_EXACT,CR2_COVARIANCE_BYTE_EXACT,CR2_COVARIANCE_WITHIN_1E_9,SATTERTHWAITE_DF_MAX_ABS_DIFFERENCE,SATTERTHWAITE_DF_NUMERIC_EXACT,SATTERTHWAITE_DF_BYTE_EXACT,SATTERTHWAITE_DF_WITHIN_1E_9,AHT_MAX_ABS_DIFFERENCE,AHT_NUMERIC_EXACT,AHT_BYTE_EXACT,AHT_WITHIN_1E_9,COEFFICIENT_INFERENCE_MAX_ABS_DIFFERENCE,COEFFICIENT_INFERENCE_NUMERIC_EXACT,COEFFICIENT_INFERENCE_BYTE_EXACT,COEFFICIENT_INFERENCE_WITHIN_1E_9
13010210000,MANGO,WITHIN_1E-9_TOLERANCE_BUT_NOT_EXACT,255,3,0,TRUE,1.758593271006248e-13,FALSE,FALSE,TRUE,4.7073456244106637e-14,FALSE,FALSE,TRUE,9.64561763794336e-13,FALSE,FALSE,TRUE,9.64561763794336e-13,FALSE,FALSE,TRUE,1.1127576637903758e-09,FALSE,FALSE,FALSE,5.3921951348456787e-09,FALSE,FALSE,FALSE,3.5777134588244053e-09,FALSE,FALSE,FALSE,1.3984200464278729e-09,FALSE,FALSE,FALSE
13010170102,LIMON_SUTIL,WITHIN_1E-9_TOLERANCE_BUT_NOT_EXACT,311,6,0,TRUE,4.3769432522822171e-12,FALSE,FALSE,TRUE,1.9240165016753963e-13,FALSE,FALSE,TRUE,1.4246381851990009e-11,FALSE,FALSE,TRUE,1.4246381851990009e-11,FALSE,FALSE,TRUE,7.0625356480391588e-05,FALSE,FALSE,FALSE,0.00014480159220653377,FALSE,FALSE,FALSE,1.0663690794388003e-05,FALSE,FALSE,FALSE,5.1661600248387174e-05,FALSE,FALSE,FALSE
15010040000,PLATANOS_Y_BANANAS,WITHIN_1E-9_TOLERANCE_BUT_NOT_EXACT,390,6,0,TRUE,6.3664629124104977e-12,FALSE,FALSE,TRUE,1.269206961751479e-12,FALSE,FALSE,TRUE,4.702283007418373e-11,FALSE,FALSE,TRUE,4.702283007418373e-11,FALSE,FALSE,TRUE,3.1801696380284739e-05,FALSE,FALSE,FALSE,4.0348086606911693e-05,FALSE,FALSE,FALSE,2.4601733620954747e-05,FALSE,FALSE,FALSE,1.4360656972911556e-05,FALSE,FALSE,FALSE
