CROP,CROP_CODE,UBIGEO,IN_FROZEN_SAMPLE,CENTROID_PRESENT,CENTROID_UNIQUE,CENTROID_X_M,CENTROID_Y_M,FINITE_XY,COVERAGE_STATUS
MAIZ_AMARILLO_DURO,14010070000,200203,TRUE,TRUE,TRUE,629608.19087179669,9498982.9439028129,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200204,TRUE,TRUE,TRUE,627103.21250556945,9471466.5015821829,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200205,TRUE,TRUE,TRUE,627927.9450363717,9487207.7465664279,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200207,TRUE,TRUE,TRUE,610328.40337839304,9487387.3935977612,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200208,TRUE,TRUE,TRUE,612082.88790203293,9471171.9088484664,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200209,TRUE,TRUE,TRUE,635613.3701932549,9494418.1220811866,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200210,TRUE,TRUE,TRUE,603986.1758604896,9506808.5528314132,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200301,TRUE,TRUE,TRUE,666545.44078572025,9425374.3448095247,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200302,TRUE,TRUE,TRUE,652273.19121501001,9412671.6809940506,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200303,TRUE,TRUE,TRUE,681185.75495465798,9444448.6145038903,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200304,TRUE,TRUE,TRUE,658640.43249682756,9370876.8073201627,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200305,TRUE,TRUE,TRUE,647977.71887121932,9428165.239455523,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200306,TRUE,TRUE,TRUE,654545.08631674165,9400219.236910535,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200307,TRUE,TRUE,TRUE,681442.26041052153,9402487.2516672369,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200308,TRUE,TRUE,TRUE,670602.65727013443,9403135.2832077779,TRUE,PASS
