CROP,CROP_CODE,EFFECTIVE_DISTRICTS,ER1_KEY_SHA256,FE_IDENTICAL,IMPUTATION,KEY_COLUMNS,MISSING_STANDARDIZED_X,N,NOMINAL_DISTRICTS,ORDERED_KEYS_IDENTICAL,OUTCOME_SHA256,PERIODS,R2_KEY_SHA256,ROWS_ADDED,ROWS_REMOVED,TRIMMING,WINSORIZATION,Y_IDENTICAL
RICE,14010020000,43,f89a50349a3ed3224f5d852c982b95cdc31be8c6e428d52a9021cf92027a1f77,TRUE,FALSE,UBIGEO|CAMPAIGN_ID,0,281,44,TRUE,a13c9dbf3fffeee4ad5f82dd1c45ebbf438e624511145c1059835ccf9e151f1e,7,f89a50349a3ed3224f5d852c982b95cdc31be8c6e428d52a9021cf92027a1f77,0,0,FALSE,FALSE,TRUE
MAIZ_AMARILLO_DURO,14010070000,52,0d1db9f7f63efc1461fea2f7dd5f72e205f5806651bb99be4a9a1ddf431a4f64,TRUE,FALSE,UBIGEO|CAMPAIGN_ID,0,318,54,TRUE,ce597e4047fa5477af7e11fc7d37ae9e7f7e26950af30eb61acae99d4bccad6b,7,0d1db9f7f63efc1461fea2f7dd5f72e205f5806651bb99be4a9a1ddf431a4f64,0,0,FALSE,FALSE,TRUE
MANGO,13010210000,35,68f9025c899f3228173935b3734b33731b2c95c894736cf76a4eac81d13cbab4,TRUE,FALSE,UBIGEO|REFERENCE_PERIOD_ID,0,255,36,TRUE,13336dae872026a50b01c5d6d3adc2ba341bbb10854aaedf9dc56ef7eed9fa2b,8,68f9025c899f3228173935b3734b33731b2c95c894736cf76a4eac81d13cbab4,0,0,FALSE,FALSE,TRUE
LIMON_SUTIL,13010170102,43,aea15b25458fffff18e8c0656e0a60a6f3cca82378ef186b77280aff2bbc3ada,TRUE,FALSE,UBIGEO|REFERENCE_PERIOD_ID,0,311,44,TRUE,699d234b800cb07f212ac8b4597b0b19451d2adac8b19720af59b4721b4e9f79,8,aea15b25458fffff18e8c0656e0a60a6f3cca82378ef186b77280aff2bbc3ada,0,0,FALSE,FALSE,TRUE
PLATANOS_Y_BANANAS,15010040000,50,1217067d18589bcc9b70edca97f527f50ab869e3ecc0004b38a80279a173a511,TRUE,FALSE,UBIGEO|REFERENCE_PERIOD_ID,0,390,54,TRUE,91513cd7e0b3d08cd721040d74f04a552d10b70bbc824afe8c6f4c40d4f7a813,8,1217067d18589bcc9b70edca97f527f50ab869e3ecc0004b38a80279a173a511,0,0,FALSE,FALSE,TRUE
