UBIGEO,SOURCE_GEOMETRY_SHA256,SOURCE_CRS,TARGET_CRS,CENTROID_METHOD,CENTROID_X_M,CENTROID_Y_M,FINITE_XY,GEOMETRY_VALID,GEOMETRY_EMPTY,UNIQUE_UBIGEO_STATUS
200306,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,654545.086316742,9400219.236910535,TRUE,TRUE,FALSE,PASS
200307,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,681442.260410522,9402487.251667237,TRUE,TRUE,FALSE,PASS
200308,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,670602.657270134,9403135.283207778,TRUE,TRUE,FALSE,PASS
200401,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,589291.627476251,9433828.577524988,TRUE,TRUE,FALSE,PASS
200402,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,619121.415316321,9417997.460697720,TRUE,TRUE,FALSE,PASS
200403,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,633818.744889583,9439877.532932702,TRUE,TRUE,FALSE,PASS
200404,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,601101.203266246,9407719.213999253,TRUE,TRUE,FALSE,PASS
200405,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,611012.066330287,9430366.953958102,TRUE,TRUE,FALSE,PASS
200406,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,629872.915680631,9398898.582052812,TRUE,TRUE,FALSE,PASS
200407,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,639485.262089315,9414486.742261324,TRUE,TRUE,FALSE,PASS
