CROP,CROP_CODE,B3_VALID_ROWS,INTERSECTION_N,DISTRICTS,PERIODS,STATUS,REAL_ESTIMATION_EXECUTED
RICE,14010020000,31,31,12,7,ESTIMABLE_WITH_SEVERE_SUPPORT_LIMITATION,False
MAD,14010070000,7,7,4,4,NOT_ESTIMABLE_UNDER_PRIMARY_DESIGN,False
MANGO,13010210000,,,,,NOT_APPLICABLE,False
LEMON,13010170102,,,,,NOT_APPLICABLE,False
BANANA,15010040000,,,,,NOT_APPLICABLE,False
