MAP_ORDER,CROP,CROP_CODE,MODEL_ID,VARIABLE,WINDOW,BANDWIDTH_KM,ER1_BETA_REFERENCE,CONLEY_VARIANCE,CONLEY_SE,Z,TWO_SIDED_ASYMPTOTIC_P,NORMAL_CRITICAL_VALUE,CI95_LOWER,CI95_UPPER,CI_ZERO_INCLUDED,SAMPLE_N,NOMINAL_DISTRICTS,PERIODS,CRS,KERNEL,SAME_PERIOD_ONLY,STATUS
1,RICE,14010020000,ED1-RICE,RAIN_ANOM_MM,RICE_FLOWERING_95_110_DAS,50,0.0011037394218762486,8.9611808263438102e-07,0.00094663513701657043,1.1659607579693381,0.24363031184887704,1.959963984540054,-0.00075163135317636879,0.002959110196928866,TRUE,281,44,7,EPSG:32717,BARTLETT,TRUE,PASS
1,RICE,14010020000,ED1-RICE,RAIN_ANOM_MM,RICE_FLOWERING_95_110_DAS,100,0.0011037394218762486,1.2950966839295793e-06,0.0011380231473610627,0.96987431620849374,0.33210914369847044,1.959963984540054,-0.001126744960524353,0.0033342238042768503,TRUE,281,44,7,EPSG:32717,BARTLETT,TRUE,PASS
1,RICE,14010020000,ED1-RICE,RAIN_ANOM_MM,RICE_FLOWERING_95_110_DAS,150,0.0011037394218762486,1.678019642865026e-06,0.0012953839750687924,0.85205579435829726,0.39418312556493112,1.959963984540054,-0.0014351665154089159,0.0036426453591614132,TRUE,281,44,7,EPSG:32717,BARTLETT,TRUE,PASS
2,RICE,14010020000,ED1-RICE,TMAX_ANOM_C,RICE_FLOWERING_95_110_DAS,50,0.0089764891920362522,0.035732643260026307,0.18903079976561044,0.047486913260519924,0.96212516027493356,1.959963984540054,-0.36151707031736269,0.37947004870143519,TRUE,281,44,7,EPSG:32717,BARTLETT,TRUE,PASS
2,RICE,14010020000,ED1-RICE,TMAX_ANOM_C,RICE_FLOWERING_95_110_DAS,100,0.0089764891920362522,0.044726025417560412,0.21148528416313134,0.042444982531797085,0.96614396976440631,1.959963984540054,-0.40552705102792025,0.42348002941199275,TRUE,281,44,7,EPSG:32717,BARTLETT,TRUE,PASS
2,RICE,14010020000,ED1-RICE,TMAX_ANOM_C,RICE_FLOWERING_95_110_DAS,150,0.0089764891920362522,0.049476011561196957,0.22243203807274922,0.04035609829327004,0.96780923020128151,1.959963984540054,-0.42698229443839431,0.44493527282246681,TRUE,281,44,7,EPSG:32717,BARTLETT,TRUE,PASS
3,RICE,14010020000,ED1-RICE,TMIN_ANOM_C,RICE_FLOWERING_95_110_DAS,50,0.091437121470065885,0.023238599284927129,0.15244211781829564,0.59981534485800669,0.54862930558970469,1.959963984540054,-0.20734393918080524,0.39021818212093701,TRUE,281,44,7,EPSG:32717,BARTLETT,TRUE,PASS
3,RICE,14010020000,ED1-RICE,TMIN_ANOM_C,RICE_FLOWERING_95_110_DAS,100,0.091437121470065885,0.029577397078677622,0.17198080439013425,0.53167050703311636,0.59495422217015825,1.959963984540054,-0.24563906116682527,0.42851330410695704,TRUE,281,44,7,EPSG:32717,BARTLETT,TRUE,PASS
3,RICE,14010020000,ED1-RICE,TMIN_ANOM_C,RICE_FLOWERING_95_110_DAS,150,0.091437121470065885,0.031258144049296221,0.17679972864599147,0.51717908262829804,0.60503115239583516,1.959963984540054,-0.25508397915253189,0.43795822209266366,TRUE,281,44,7,EPSG:32717,BARTLETT,TRUE,PASS
4,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,RAIN_ANOM_MM,MAD_MPLUS1_MPLUS3,50,0.00012564522471647521,4.9382074845428166e-08,0.00022222077950864128,0.5654071819669293,0.5717968406863313,1.959963984540054,-0.00030989949973687816,0.00056118994916982859,TRUE,318,54,7,EPSG:32717,BARTLETT,TRUE,PASS
4,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,RAIN_ANOM_MM,MAD_MPLUS1_MPLUS3,100,0.00012564522471647521,4.8928414476886431e-08,0.00022119768189763299,0.56802233928754264,0.57001979919051704,1.959963984540054,-0.00030789426526663295,0.00055918471469958337,TRUE,318,54,7,EPSG:32717,BARTLETT,TRUE,PASS
4,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,RAIN_ANOM_MM,MAD_MPLUS1_MPLUS3,150,0.00012564522471647521,5.2923318343244298e-08,0.00023005068646549242,0.54616322449149479,0.58495374286460322,1.959963984540054,-0.00032524583537460602,0.00057653628480755644,TRUE,318,54,7,EPSG:32717,BARTLETT,TRUE,PASS
5,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,TMAX_ANOM_C,MAD_MPLUS1_MPLUS3,50,0.23699616341331953,0.019895558008752635,0.14105161469743135,1.6802087939347452,0.092916698956212171,1.959963984540054,-0.039459921354866478,0.51345224818150559,TRUE,318,54,7,EPSG:32717,BARTLETT,TRUE,PASS
5,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,TMAX_ANOM_C,MAD_MPLUS1_MPLUS3,100,0.23699616341331953,0.016287669284317862,0.12762315340218586,1.8569997457002219,0.063311190262477807,1.959963984540054,-0.013140620848395235,0.48713294767503429,TRUE,318,54,7,EPSG:32717,BARTLETT,TRUE,PASS
5,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,TMAX_ANOM_C,MAD_MPLUS1_MPLUS3,150,0.23699616341331953,0.01485922253792684,0.12189841072764994,1.9442104453914937,0.051870078691359407,1.959963984540054,-0.0019203313855453152,0.47591265821218437,TRUE,318,54,7,EPSG:32717,BARTLETT,TRUE,PASS
6,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,TMIN_ANOM_C,MAD_MPLUS1_MPLUS3,50,-0.087388917881000228,0.023070143331525111,0.15188858854938744,-0.57534880477597705,0.56505542052531332,1.959963984540054,-0.38508508110042244,0.21030724533842199,TRUE,318,54,7,EPSG:32717,BARTLETT,TRUE,PASS
6,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,TMIN_ANOM_C,MAD_MPLUS1_MPLUS3,100,-0.087388917881000228,0.024636785728723781,0.15696109622681598,-0.55675527236837874,0.57769464716169483,1.959963984540054,-0.39502701345948532,0.22024917769748487,TRUE,318,54,7,EPSG:32717,BARTLETT,TRUE,PASS
6,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,TMIN_ANOM_C,MAD_MPLUS1_MPLUS3,150,-0.087388917881000228,0.02459227569483103,0.15681924529480121,-0.55725888564710047,0.57735056211125912,1.959963984540054,-0.39474899074156294,0.21997115497956249,TRUE,318,54,7,EPSG:32717,BARTLETT,TRUE,PASS
7,MANGO,13010210000,ED1-MANGO,RAIN_ANOM_MM,MANGO_MAY_JUN_CURRENT_YEAR,50,-0.0017475498782406618,0.00045635995347854773,0.021362583024497474,-0.081804240443988652,0.93480238399208826,1.959963984540054,-0.043617443223002449,0.040122343466521125,TRUE,255,36,8,EPSG:32717,BARTLETT,TRUE,PASS
7,MANGO,13010210000,ED1-MANGO,RAIN_ANOM_MM,MANGO_MAY_JUN_CURRENT_YEAR,100,-0.0017475498782406618,0.0004587005753764027,0.02141729617333623,-0.081595261329779761,0.93496856964190878,1.959963984540054,-0.043724679024207187,0.040229579267725864,TRUE,255,36,8,EPSG:32717,BARTLETT,TRUE,PASS
7,MANGO,13010210000,ED1-MANGO,RAIN_ANOM_MM,MANGO_MAY_JUN_CURRENT_YEAR,150,-0.0017475498782406618,0.00042039263632790303,0.02050347863968217,-0.08523187254959147,0.93207705213554271,1.959963984540054,-0.041933629569804017,0.038438529813322693,TRUE,255,36,8,EPSG:32717,BARTLETT,TRUE,PASS
8,MANGO,13010210000,ED1-MANGO,TMAX_ANOM_C,MANGO_MAY_JUN_CURRENT_YEAR,50,0.55634150583162256,0.57398040419693908,0.75761494454435041,0.73433280301277715,0.46274593017763338,1.959963984540054,-0.92855649962461451,2.0412395112878596,TRUE,255,36,8,EPSG:32717,BARTLETT,TRUE,PASS
8,MANGO,13010210000,ED1-MANGO,TMAX_ANOM_C,MANGO_MAY_JUN_CURRENT_YEAR,100,0.55634150583162256,0.50910171090693468,0.71351363750592367,0.7797209143420244,0.43555516567639113,1.959963984540054,-0.84211952615815533,1.9548025378214005,TRUE,255,36,8,EPSG:32717,BARTLETT,TRUE,PASS
8,MANGO,13010210000,ED1-MANGO,TMAX_ANOM_C,MANGO_MAY_JUN_CURRENT_YEAR,150,0.55634150583162256,0.42106348682778416,0.64889404900013081,0.85736879031157587,0.39124110190318717,1.959963984540054,-0.71546745999100292,1.828150471654248,TRUE,255,36,8,EPSG:32717,BARTLETT,TRUE,PASS
9,MANGO,13010210000,ED1-MANGO,TMIN_ANOM_C,MANGO_MAY_JUN_CURRENT_YEAR,50,0.65834191561220345,0.95811979218120413,0.97883593731595497,0.67257636393840292,0.50121684294729651,1.959963984540054,-1.2601412683005742,2.5768250995249811,TRUE,255,36,8,EPSG:32717,BARTLETT,TRUE,PASS
9,MANGO,13010210000,ED1-MANGO,TMIN_ANOM_C,MANGO_MAY_JUN_CURRENT_YEAR,100,0.65834191561220345,0.95770246319783792,0.97862273793216037,0.67272288911178024,0.50112360291761937,1.959963984540054,-1.2597234051868107,2.5764072364112174,TRUE,255,36,8,EPSG:32717,BARTLETT,TRUE,PASS
9,MANGO,13010210000,ED1-MANGO,TMIN_ANOM_C,MANGO_MAY_JUN_CURRENT_YEAR,150,0.65834191561220345,0.81175278118054883,0.90097324110128196,0.7307008527883645,0.46496189456258136,1.959963984540054,-1.1075331879806318,2.424217019205039,TRUE,255,36,8,EPSG:32717,BARTLETT,TRUE,PASS
10,LIMON_SUTIL,13010170102,ED1-LEMON,RAIN_ANOM_MM__T,LEMON_FULL_YEAR_T,50,-0.0037808833821428856,1.0017853870399851e-05,0.0031650993460553257,-1.194554410070892,0.23226117044343683,1.959963984540054,-0.0099843641079026008,0.0024225973436168297,TRUE,311,44,8,EPSG:32717,BARTLETT,TRUE,PASS
10,LIMON_SUTIL,13010170102,ED1-LEMON,RAIN_ANOM_MM__T,LEMON_FULL_YEAR_T,100,-0.0037808833821428856,9.803953847218723e-06,0.0031311266098991786,-1.2075153301656585,0.22723374482219028,1.959963984540054,-0.009917778768580271,0.0023560120042944999,TRUE,311,44,8,EPSG:32717,BARTLETT,TRUE,PASS
10,LIMON_SUTIL,13010170102,ED1-LEMON,RAIN_ANOM_MM__T,LEMON_FULL_YEAR_T,150,-0.0037808833821428856,9.6857237416399147e-06,0.0031121895414064861,-1.2148628262641734,0.22441841394762072,1.959963984540054,-0.0098806627963618256,0.0023188960320760545,TRUE,311,44,8,EPSG:32717,BARTLETT,TRUE,PASS
11,LIMON_SUTIL,13010170102,ED1-LEMON,TMAX_ANOM_C__T,LEMON_FULL_YEAR_T,50,-0.02245610058744385,2.1987640327437208,1.4828229944075324,-0.015144154543149818,0.98791717476213858,1.959963984540054,-2.9287357650740451,2.8838235638991576,TRUE,311,44,8,EPSG:32717,BARTLETT,TRUE,PASS
11,LIMON_SUTIL,13010170102,ED1-LEMON,TMAX_ANOM_C__T,LEMON_FULL_YEAR_T,100,-0.02245610058744385,2.3869987937394352,1.5449915189862484,-0.014534772723010479,0.98840333756871501,1.959963984540054,-3.0505838342203218,3.0056716330454343,TRUE,311,44,8,EPSG:32717,BARTLETT,TRUE,PASS
11,LIMON_SUTIL,13010170102,ED1-LEMON,TMAX_ANOM_C__T,LEMON_FULL_YEAR_T,150,-0.02245610058744385,2.6299488185877764,1.621711694040521,-0.013847159559843903,0.98895191824426942,1.959963984540054,-3.2009526142143043,3.1560404130394168,TRUE,311,44,8,EPSG:32717,BARTLETT,TRUE,PASS
12,LIMON_SUTIL,13010170102,ED1-LEMON,TMIN_ANOM_C__T,LEMON_FULL_YEAR_T,50,0.59762633706658086,2.2746245337127315,1.5081858419016974,0.39625510362371763,0.69191684426960631,1.959963984540054,-2.3583635950539659,3.5536162691871276,TRUE,311,44,8,EPSG:32717,BARTLETT,TRUE,PASS
12,LIMON_SUTIL,13010170102,ED1-LEMON,TMIN_ANOM_C__T,LEMON_FULL_YEAR_T,100,0.59762633706658086,1.7063701792591968,1.3062810491081913,0.45750211064807622,0.64731018557029496,1.959963984540054,-1.9626374728726717,3.1578901470058334,TRUE,311,44,8,EPSG:32717,BARTLETT,TRUE,PASS
12,LIMON_SUTIL,13010170102,ED1-LEMON,TMIN_ANOM_C__T,LEMON_FULL_YEAR_T,150,0.59762633706658086,1.2974831745983519,1.1390711894338965,0.52466109459198362,0.5998188075893558,1.959963984540054,-1.6349121700510576,2.8301648441842193,TRUE,311,44,8,EPSG:32717,BARTLETT,TRUE,PASS
13,LIMON_SUTIL,13010170102,ED1-LEMON,RAIN_ANOM_MM__T_MINUS_1,LEMON_FULL_YEAR_T_MINUS_1,50,5.0193201688308875e-06,5.5393212659738245e-06,0.0023535762715437597,0.0021326354405921209,0.99829840439797812,1.959963984540054,-0.0046079054069250005,0.0046179440472626622,TRUE,311,44,8,EPSG:32717,BARTLETT,TRUE,PASS
13,LIMON_SUTIL,13010170102,ED1-LEMON,RAIN_ANOM_MM__T_MINUS_1,LEMON_FULL_YEAR_T_MINUS_1,100,5.0193201688308875e-06,5.3196944781651339e-06,0.002306446287726019,0.002176213769009794,0.99826363400324503,1.959963984540054,-0.0045155323360502736,0.0045255709763879354,TRUE,311,44,8,EPSG:32717,BARTLETT,TRUE,PASS
13,LIMON_SUTIL,13010170102,ED1-LEMON,RAIN_ANOM_MM__T_MINUS_1,LEMON_FULL_YEAR_T_MINUS_1,150,5.0193201688308875e-06,5.3759541496149233e-06,0.0023186103919405959,0.0021647967188786264,0.99827274346981676,1.959963984540054,-0.0045393735422150361,0.0045494121825526979,TRUE,311,44,8,EPSG:32717,BARTLETT,TRUE,PASS
14,LIMON_SUTIL,13010170102,ED1-LEMON,TMAX_ANOM_C__T_MINUS_1,LEMON_FULL_YEAR_T_MINUS_1,50,-0.93145677254736037,1.8360260919173674,1.3550004029214779,-0.68742176794860932,0.49181698413742292,1.959963984540054,-3.5872087613107189,1.7242952162159983,TRUE,311,44,8,EPSG:32717,BARTLETT,TRUE,PASS
14,LIMON_SUTIL,13010170102,ED1-LEMON,TMAX_ANOM_C__T_MINUS_1,LEMON_FULL_YEAR_T_MINUS_1,100,-0.93145677254736037,2.1097490460940298,1.4524975201679451,-0.64127942362315404,0.52134115538584092,1.959963984540054,-3.778299599710274,1.915386054615553,TRUE,311,44,8,EPSG:32717,BARTLETT,TRUE,PASS
14,LIMON_SUTIL,13010170102,ED1-LEMON,TMAX_ANOM_C__T_MINUS_1,LEMON_FULL_YEAR_T_MINUS_1,150,-0.93145677254736037,2.4328734212487255,1.5597671048104347,-0.59717682830640562,0.55038932797046836,1.959963984540054,-3.9885441222461244,2.1256305771514032,TRUE,311,44,8,EPSG:32717,BARTLETT,TRUE,PASS
15,LIMON_SUTIL,13010170102,ED1-LEMON,TMIN_ANOM_C__T_MINUS_1,LEMON_FULL_YEAR_T_MINUS_1,50,-4.0857132490015609,2.3261171158847378,1.5251613409356852,-2.6788728112495819,0.0073870447428531997,1.959963984540054,-7.0749745478483188,-1.0964519501548033,FALSE,311,44,8,EPSG:32717,BARTLETT,TRUE,PASS
15,LIMON_SUTIL,13010170102,ED1-LEMON,TMIN_ANOM_C__T_MINUS_1,LEMON_FULL_YEAR_T_MINUS_1,100,-4.0857132490015609,2.0936697668252746,1.4469518882206398,-2.8236690399055941,0.0047477382456287808,1.959963984540054,-6.9216868372762406,-1.2497396607268807,FALSE,311,44,8,EPSG:32717,BARTLETT,TRUE,PASS
15,LIMON_SUTIL,13010170102,ED1-LEMON,TMIN_ANOM_C__T_MINUS_1,LEMON_FULL_YEAR_T_MINUS_1,150,-4.0857132490015609,2.0712701903263864,1.4391908109512048,-2.8388961476909298,0.0045269887860483375,1.959963984540054,-6.9064754053469155,-1.2649510926562058,FALSE,311,44,8,EPSG:32717,BARTLETT,TRUE,PASS
16,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,RAIN_ANOM_MM__T,BANANA_FULL_YEAR_T,50,-0.0021023420826074002,1.2343880704513441e-05,0.0035133859316211534,-0.59838062869379494,0.54958598822046034,1.959963984540054,-0.008988451972374566,0.0047837678071597656,TRUE,390,54,8,EPSG:32717,BARTLETT,TRUE,PASS
16,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,RAIN_ANOM_MM__T,BANANA_FULL_YEAR_T,100,-0.0021023420826074002,1.2167655897856819e-05,0.0034882167217443385,-0.60269824105312197,0.54670945191342835,1.959963984540054,-0.008939121227496679,0.0047344370622818786,TRUE,390,54,8,EPSG:32717,BARTLETT,TRUE,PASS
16,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,RAIN_ANOM_MM__T,BANANA_FULL_YEAR_T,150,-0.0021023420826074002,1.3696964227630373e-05,0.0037009409921843353,-0.56805609358461429,0.56999687982746361,1.959963984540054,-0.00935605313619663,0.0051513689709818304,TRUE,390,54,8,EPSG:32717,BARTLETT,TRUE,PASS
17,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,TMAX_ANOM_C__T,BANANA_FULL_YEAR_T,50,-0.32534946598061909,4.288647555834987,2.0709050088874155,-0.15710496839998067,0.87516212199280419,1.959963984540054,-4.3842486988035532,3.7335497668423154,TRUE,390,54,8,EPSG:32717,BARTLETT,TRUE,PASS
17,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,TMAX_ANOM_C__T,BANANA_FULL_YEAR_T,100,-0.32534946598061909,5.1160935609439937,2.2618783258486728,-0.14384039241303825,0.88562650598629722,1.959963984540054,-4.7585495220557696,4.1078505900945324,TRUE,390,54,8,EPSG:32717,BARTLETT,TRUE,PASS
